Import_country,Nominal Value (SUM),Tons (SUM),Price
Dominica,39911968.286822796,68495.45793691509,582.6951083907209
Dominican Republic,3074186113.5005436,5579562.076386489,550.9726518701069
East Timor,32378959.579338133,37340.413121463615,867.1291202379978
Ecuador,1307563194.2502835,1548796.2891116885,844.2447876732942
Egypt,14632579117.767607,29607754.995358508,494.2144083555642
El Salvador,454913087.2430482,687333.5954631474,661.8519598718482
Equatorial Guinea,17930201.448297977,16014.037587064291,1119.6552618798341
Eritrea,3809544.920639038,3309.3846421287685,1151.133921437594
Estonia,1080195676.6111155,825925.5139312835,1307.860888652711
Ethiopia,1045327561.4908192,1844836.121941669,566.6235331464693
Falkland Islands,497761.00651550316,179.08719800466412,2779.433773387529
Faroe Islands,4013237.726052045,1148.9620591201974,3492.9245001572367
Fiji,123563230.23591311,188531.3439354507,655.3988724454149
Finland,4274870480.8131394,2755208.981476178,1551.5594314456546
France,52587191682.41684,55789324.00635295,942.6031345428836
French Guiana,4221029.7331695575,5152.832246825399,819.1669223794518
French Polynesia,4246600.281185152,3056.131702238533,1389.5344490797413
Gabon,58066928.69965696,57490.64557327901,1010.0239459938471
Gambia,69877179.62762356,73398.77816478405,952.0210196244096
Gaza Strip,17419079.16143608,10380.540506636984,1678.051268168443
Georgia,281721788.98016036,397076.2758514656,709.4903576801554
Germany,88677092111.66151,90272564.07596174,982.326059078618
Ghana,1119077475.5459478,1367029.0827259142,818.6200935202195
Gibraltar,1785959.4535168414,752.2117676298932,2374.277471281967
Greece,3474833626.0846643,4220121.002341709,823.396680843158
Greenland,3548608.78350687,668.724468012525,5306.53348763127
Grenada,1264031.8887405396,850.1075781480952,1486.908152841258
Guadeloupe,434064.5625658035,64.21066540410774,6760.007232973405
Guam,9049103.200214386,6783.386779038691,1334.0096171689595
Guatemala,2346270897.564175,3774583.045759258,621.5973709202688
Guinea,114039014.34939505,138656.1370216189,822.4591914861611
Guinea-Bissau,23351737.676548004,25779.772982211005,905.816265048632
Guyana,27800199.296369173,24546.689489367378,1132.5437309341075
Haiti,98462356.85493708,131789.43017277488,747.1187691293127
Holy See Vatican,1176.6650390625,0.006,196110.83984375
Honduras,540968937.9990385,818502.1142796295,660.9255230515191
Hong Kong SAR,4037467354.2416096,3832247.641794162,1053.5507440096874
Hungary,8361944033.297042,9171498.819103634,911.731462678669
Iceland,66450921.12778636,65148.45591389704,1019.9922652903809
India,33472673451.345455,36906101.84576637,906.9685438801015
Indonesia,38978441914.07787,60312149.5854518,646.278439451942
Iran,7949871192.424562,11110597.684718877,715.5214704028509
Iraq,1126934897.351327,2057563.9996811799,547.703448119206
Ireland,999302992.2996155,710795.9986253692,1405.8928218957326
Israel,1187460436.2579885,1312081.860371086,905.0200845869084
Italy,88060797847.88136,117448519.58344412,749.7821016408509
Jamaica,37383983.70446205,28958.80018438977,1290.9368988503147
Japan,31232097520.157257,33522401.366582133,931.6784074810333
Jordan,1496868676.2440412,3085192.323113447,485.1784003965963
Kazakhstan,2180734147.5002837,4203708.422588903,518.7643690466174
Kenya,3255244263.9143076,5835548.530174124,557.8300389555968
Kiribati,1456643.7411499023,628.4229313678995,2317.9353719304922
Kosovo,27582184.85571123,32967.111959394104,836.6576025732694
Kuwait,1271648237.3541682,2389517.51029811,532.1778274792891
Kyrgyzstan,119653255.24580902,131755.4070799751,908.1468297781502
Laos,99714950.51783776,101760.41229846832,979.899238471724
Latvia,1406514859.7801063,1649579.8957952429,852.6503404686817
Lebanon,524532202.6598542,658570.0020538028,796.4714472630986
Lesotho,190136136.21685496,128885.42016202181,1475.233862587676
Liberia,53737475.97597194,56862.56245792474,945.0414060346789
Libya,677062268.5412962,1266585.6862986973,534.5570188147741
Liechtenstein,79547459.3364134,59706.08622644997,1332.3174296621983
Lithuania,764100693.9171971,663206.6334212334,1152.1306564373297
Luxembourg,3802382540.8390865,5107006.702349416,744.5423048083816
Macao,32124562.651558876,13834.50158713163,2322.061438154015
Macedonia,750592624.4246098,1412677.0074170257,531.3264252789194
Madagascar,87567806.47153665,94469.84288245102,926.9392623050874
Malawi,47725878.08187913,46062.219016499745,1036.1176491471992
Malaysia,18147033816.103428,20231864.613098267,896.9531065542469
Maldives,21802996.669049144,17336.36474562727,1257.6452439112695
Mali,92761277.20304717,126559.39617130051,732.946584839051
Malta,49077523.82625657,26858.362025516373,1827.271662346022
Marshall Islands,944568.839234829,464.11669414014125,2035.1968613945483
Martinique,291431.97315597534,372.74269658203525,781.8583055505567
Mauritania,89376973.76624604,118563.37758465932,753.8328916315415
Mauritius,96317900.5777243,162590.31175864278,592.3963090783873
Mayotte,5035333.73658371,5622.593162682916,895.5536335090292
Mexico,55861338380.37755,72909064.45926283,766.1782357883563
Micronesia,10244147.056007385,6509.48700353266,1573.7257099442625
Moldova,190616316.20725584,309176.5732303961,616.5289763568535
Monaco,378624.8210449219,383.72980241937535,986.6964167435859
Mongolia,39951511.61900997,48151.06451905895,829.7119080969961
Montenegro,26074796.376479506,20269.212703468304,1286.4237382055692
Montserrat,100299.12976074219,125.73684719638365,797.6908280839009
Morocco,5263241360.568234,9503845.89455487,553.8012104745674
Mozambique,340177123.32306784,410144.9957802517,829.4069824646322
Myanmar,680024680.6834549,848206.7783111357,801.7204036466813
Namibia,214867915.2169313,207560.93162498192,1035.2040412169258
Nauru,230189.9990234375,449.38699931031465,512.2311045417775
Nepal,5867055307.760207,12218341.598721469,480.18425907932857
Netherlands,25829576408.221214,26523570.03676367,973.8348334111687
Netherlands Antilles,1365085.2288188934,1035.8233618545423,1317.874532560107
New Caledonia,58070908.7330494,47873.58428544823,1213.0052428662789
New Zealand,802094082.4310291,563092.3144797585,1424.4450897400093
Nicaragua,232675724.9044321,237658.31053029702,979.0346669773631
Niger,11645133.930215359,13650.878669120388,853.0684516710108
Nigeria,3349487664.6732664,4495959.949205841,744.9994445045967
Niue,190841.7506790161,57.99372770656185,3290.7308811849807
Norfolk Island,817207.5768661499,631.9385280821932,1293.1757450304717
North Korea,45183654.79521942,50837.108603544424,888.7927743410089
Northern Mariana Islands,5340520.980682373,4130.049079381044,1293.0889870884387
Norway,1650815276.010776,1332272.838937529,1239.0969985752174
Oman,3761185634.257,8013817.119413342,469.33759258688207
"Other Africa, nes.",26384.0,12.033,2192.6369151500044
"Other Europe, nes.",681608682.0853897,284886.35210032866,2392.5634803500416
Pakistan,6718553677.5920725,12262810.411300946,547.880416662114
Palau,4104768.686691761,2352.114033616966,1745.1401709379065
Panama,107441358.45680141,89597.1514822729,1199.1604273050918
Papua New Guinea,106431657.30805743,94477.52477722098,1126.5288496817038
Paraguay,359449764.9317445,445106.17073288537,807.5596083961179
Peru,5007955208.08496,7356144.083974414,680.7853613138091
Philippines,15019765858.867268,25353026.888429463,592.4249567897529
Pitcairn Island,645.0,0.16,4031.25
Poland,28368414405.240227,31362045.701477565,904.5460450911753
Portugal,6270836265.219876,7301240.646978665,858.8726996438363
Qatar,1352232069.2628162,2332840.561294206,579.6504449119442
"Rest of America, nes.",453.0,0.028,16178.571428571428
Romania,8053914572.835182,8224477.15083549,979.2615901446111
Russia,8183999272.6612625,9033377.85568078,905.9733140150478
Rwanda,20034582.637596134,24762.66702384495,809.0640082630858
Réunion,16688350.99812746,18814.334484967523,887.0019299094154
Saint Barthelemy,798519.1033477784,668.4660060658446,1194.5545414453334
Saint Helena,208794.15287303925,81.37447473501423,2565.843325599965
Saint Kitts and Nevis,4749225.1223220825,2305.4297136442756,2060.017312267053
Saint Lucia,2934446.19088459,2326.295465529597,1261.4245414507325
Saint Maarten,1011843.6279296875,446.52964594201546,2266.016684726643
Saint Pierre and Miquelon,141885.82096862793,100.85432553816464,1406.8392229239232
Saint Vincent and the Grenadines,690418.5711940527,329.3042578069893,2096.5977658227503
San Marino,130487301.162189,138881.31978201173,939.5597720917544
Sao Tome and Principe,6650220.518442154,7433.013778702791,894.6869623054499
Saudi Arabia,13134260446.104055,21500635.796026144,610.8777698811863
Senegal,339129533.80101687,490193.80900496006,691.8274518591184
Serbia,1100340518.8090034,1045180.9187793685,1052.7751693879504
Seychelles,11883695.582148373,8766.43715205688,1355.5901189983535
Sierra Leone,112519531.78569269,110053.00237706574,1022.412195536257
Singapore,4169991911.938944,3996364.7600294333,1043.446272383863
