Export_country,Nominal Value (SUM),Tons (SUM),Price
Iran,13220624793.080765,30029320.94280184,440.2572012288479
Bangladesh,136089219.1500427,321374.312196683,423.460164628078
Laos,178042.52414703375,423.8808578381228,420.0296400622719
"Other Africa, nes.",16391.730127334602,40.02,409.5884589538881
Angola,20999378.603351597,51284.89682996727,409.4651622869413
Botswana,4670091.236028553,12461.095668536356,374.7737245786741
Mali,465200.9325828552,1245.4677053262171,373.51505028467056
Iraq,27240678.72789884,73630.91662351784,369.9625100035509
Congo,945244.3298470974,2589.445340190616,365.0373750609911
Libya,1155451021.1116605,3217795.641307727,359.0815421212019
Sri Lanka,6720723.547073245,21130.85433935202,318.05261818293985
Burkina Faso,49245.11626052856,160.80200000000002,306.2469139720187
Venezuela,2831121196.124269,10843281.353532497,261.0945067105497
Montenegro,10238917.634803772,69691.0875985324,146.91860878663329
Mongolia,2907602.2699813843,21928.63192096857,132.59387454997042
Rwanda,36635.99935531616,476.0035000000475,76.96581927509463
Gibraltar,305113.66758728033,11420.482718923851,26.71635473706413
