Country,Nominal Value (SUM)_exporter,Tons (SUM)_exporter,Price_exporter,Nominal Value (SUM)_importer,Tons (SUM)_importer,Price_importer,Difference,Ratio
Congo,945244.3298470974,2589.445340190616,365.0373750609911,75428579.72710457,73173.93215474088,1030.812169115031,-70584.48681455026,-0.9646124615154653
"Congo, D.R.",507030.8979349136,623.8401586605082,812.7577086790884,331536781.3092278,249344.9240143008,1329.6311630158273,-248721.0838556403,-0.9974980835839083
Costa Rica,252808095.58712688,301260.3736427684,839.1681007702138,2101800002.97812,3105822.467933049,676.7289581676848,-2804562.0942902807,-0.9030014185442932
Croatia,815146145.9856507,1161641.3141572566,701.7193139149152,1358919722.0533977,1115421.5307065411,1218.301498261933,46219.78345071548,0.04143705512071162
Curacao,3466.813949584966,3.2520000466108323,1066.0559347771252,3242321.0119133,1904.9496486551568,1702.0507676947216,-1901.697648608546,-0.9982928682398998
Cyprus,45566847.61932379,31313.296990541392,1455.191627795945,91859624.45014042,93517.3705845768,982.2733880981276,-62204.073594035406,-0.6651606349194586
Czech Republic,6852165334.132533,7115836.387697323,962.9458802593248,20816506757.0518,23289147.83417543,893.8286151674823,-16173311.446478106,-0.6944569875049159
Côte d'Ivoire,13740920.460034495,25160.15169335112,546.138219972088,476341560.3776112,632152.7618694785,753.5228652152311,-606992.6101761274,-0.9601992537073721
Denmark,1543240176.4250023,951829.5817632664,1621.3408429334024,9050051294.92717,11473467.282701088,788.7808516761294,-10521637.700937822,-0.9170408074289479
Djibouti,110419.95345687866,88.34567704467389,1249.8625529921792,1489138222.0771985,2119845.5118487445,702.4748802465808,-2119757.1661716998,-0.9999583244738587
Dominica,635727.4755859375,803.8939965667718,790.8100798127228,39911968.2868228,68495.45793691509,582.6951083907209,-67691.56394034832,-0.988263543002995
Dominican Republic,10160282.485263826,1651.7533087654197,6151.210614409479,3074186113.500544,5579562.076386489,550.9726518701069,-5577910.323077723,-0.9997039636290174
East Timor,50569.0,90.111,561.185648810911,32378959.579338133,37340.413121463615,867.1291202379978,-37250.30212146362,-0.9975867701381107
Ecuador,15720950.17491889,8767.584754007186,1793.0764989450142,1307563194.2502837,1548796.2891116885,844.2447876732942,-1540028.7043576813,-0.9943390975200258
Egypt,3776739618.177466,5956261.460648205,634.0788837309457,14632579117.767609,29607754.995358508,494.2144083555642,-23651493.534710303,-0.7988276564169777
El Salvador,120558196.19450618,134817.79566640448,894.2305843126044,454913087.2430482,687333.5954631474,661.8519598718482,-552515.7997967429,-0.8038539123414156
Estonia,121032713.98943897,60046.50520360863,2015.649596575776,1080195676.6111157,825925.5139312835,1307.860888652711,-765879.0087276748,-0.9272979170751171
Ethiopia,34084.152311325095,71.44145414312669,477.0920849824877,1045327561.4908192,1844836.121941669,566.6235331464693,-1844764.6804875259,-0.9999612749049667
Falkland Islands,18533.630859375,11.394869998931885,1626.4890131359357,497761.0065155032,179.08719800466412,2779.433773387529,-167.69232800573224,-0.9363725038646531
Finland,12988480199.942127,7511569.710413281,1729.1299556118358,4274870480.813139,2755208.981476178,1551.5594314456546,4756360.7289371025,1.7263157752878524
France,46595615773.24344,52446064.29130663,888.4482830672015,52587191682.41684,55789324.00635295,942.6031345428836,-3343259.715046324,-0.05992651416004993
Gabon,310941329.7184792,273648.58658551803,1136.2796848260232,58066928.69965696,57490.64557327901,1010.0239459938472,216157.94101223903,3.759880218021186
Gambia,35157.82500076294,20.178,1742.3840321519942,69877179.62762356,73398.77816478405,952.0210196244096,-73378.60016478405,-0.9997250907916383
