Export_country,Nominal Value (SUM),Tons (SUM),Price
Curacao,412.220397949219,0.379999997258186,1084.7905287460865
Cyprus,35045062.466142714,29414.83995170639,1191.4075522314615
Czech Republic,6649890400.863812,7064521.989912628,941.3079059502023
Côte d'Ivoire,13173690.292923098,24412.77559839172,539.6227987198213
Denmark,1036532737.2339029,836840.011216991,1238.6271250660027
Djibouti,78085.57788848877,83.86000000149012,931.1421164691302
Dominica,623696.537109375,800.3499965667718,779.2797398448431
Dominican Republic,1506788.7156829834,1156.1244964147568,1303.3100849914235
East Timor,50569.0,90.111,561.185648810911
Ecuador,12250205.58092046,7056.610710792531,1735.9899933525785
Egypt,3614868874.1000757,5030853.87731214,718.5398268874807
El Salvador,117245194.38363887,133957.36619198511,875.2426067828575
Estonia,56480889.490296185,43084.109141479,1310.9448150552453
Ethiopia,23550.264523506175,18.10678353067181,1300.6321351118731
Falkland Islands,16750.0,11.34,1477.0723104056437
Finland,8639150696.609812,5966546.847268109,1447.9314279691614
France,43108679125.63054,51738983.78991773,833.195319426259
Gabon,301316507.35690117,270633.97439329146,1113.3728055850859
Gambia,32334.82500076294,20.035,1613.9168954710726
Georgia,3316946418.4819775,3203876.2007544716,1035.2916937617251
Germany,87568789495.22942,88128706.37342834,993.6466005091872
Ghana,13564690.868221283,16569.718005794548,818.6434351796219
Gibraltar,4940.387741088868,5.188000076055526,952.2721026721882
Greece,1129475240.1389413,1690631.7803768772,668.0787935307578
Greenland,13.36360025405884,0.0080000001471489,1670.4500010317452
Grenada,105153.435546875,124.153,846.9665295794301
Guatemala,92092239.11574745,90012.48548417815,1023.1051683595035
Guinea,3104.033203125,3.5,886.8666294642857
Guyana,5952.754364013672,5.02699982374907,1184.1564696085838
Honduras,334049132.25641274,381079.70202324545,876.5860015184858
Hong Kong SAR,550176063.7347902,556806.5121353362,988.092006368391
Hungary,4098780176.397211,5232833.064542022,783.2812791546479
Iceland,1373337227.7525978,925242.546619821,1484.2996928424839
India,50812620524.42151,74242086.51628137,684.4180020893978
Indonesia,34951210344.90991,27965225.29109022,1249.809718359231
Iran,13063317252.267376,29321299.205503877,445.5231386819064
Iraq,26600863.354697943,73466.02268173873,362.08389107894436
Ireland,110136658.24863529,123050.4325282669,895.052995635224
Israel,9432350.459014893,11522.571870606027,818.5976676853481
Italy,30321366781.145992,27740283.732377026,1093.0445799931188
Jamaica,100040.607421875,82.0704392027555,1218.9603028043277
Japan,101495794396.70839,136118681.04876637,745.6419178815444
Jordan,17432558.686023712,29689.94398454872,587.153640138088
Kazakhstan,7208563394.613437,12080254.568172317,596.7228052963172
Kenya,121448671.0698686,132149.14883567233,919.0272668414248
Kosovo,2375090.988548279,1426.19084448067,1665.3388273665012
Kuwait,273082740.52494156,425668.5720897707,641.5384137576176
Kyrgyzstan,6107295.730822086,8977.472996907329,680.291183602112
Laos,149969.44239807135,163.9294266281211,914.8414990694844
Latvia,954010726.0597404,1181048.4608309956,807.7659450049073
Lebanon,21443720.01738549,34252.076005900846,626.0560677750227
Lesotho,210953.1612787248,261.04365200109754,808.1145036916579
Liberia,935533.2069339751,656.7074014365347,1424.581487718144
Libya,1074952749.6645246,2755538.5806007315,390.1062236008234
Liechtenstein,2344096.9470958714,1880.2839188265227,1246.67180505315
Lithuania,146178060.31495243,207766.97601051297,703.5673480060462
Luxembourg,2794955807.4593444,3069095.224917624,910.6774481180727
Macao,61827.51045227051,50.65233968703918,1220.6249668678347
Macedonia,435451664.75641435,398940.72182941344,1091.5197194199015
Malawi,77051.64832639694,105.24955297673245,732.0852787225688
Malaysia,15684244226.153141,22324253.863630082,702.5652154809698
Mali,456512.03161621094,1079.962817989546,422.71087857084905
Malta,21711930.987883743,21706.3122475182,1000.2588528305257
Mauritania,664479.5563278198,876.6360000000001,757.9879862654736
Mauritius,1194587.6220245361,1596.023264288884,748.4775747030169
Mexico,13698690666.574312,19324693.27940272,708.869758940759
Moldova,761228.0929570198,875.6783604672025,869.3010211544798
