Country,Nominal Value (SUM)_exporter,Tons (SUM)_exporter,Price_exporter,Nominal Value (SUM)_importer,Tons (SUM)_importer,Price_importer,Difference,Ratio
Oman,10167875998.457191,19004604.176157147,535.0217191691705,3588709308.314799,7249331.028953445,495.04006562559823,11755273.147203702,1.6215666108022606
Finland,8639150696.609812,5966546.847268109,1447.9314279691614,2992713186.136454,2435357.104482391,1228.8601045933767,3531189.7427857183,1.4499679477339873
Libya,1074952749.6645246,2755538.5806007315,390.1062236008234,666137010.8151252,1264647.314002985,526.737378428934,1490891.2665977466,1.1788988519484
Sweden,22746705476.70476,15336006.323103448,1483.2222286213598,8710318987.062227,7368504.891323383,1182.1012695966135,7967501.431780065,1.081291462690351
Qatar,2451270386.584868,4730777.847719844,518.153772062313,1271883249.420593,2290530.4418029124,555.2789110366391,2440247.405916932,1.0653634465544035
India,50812620524.42151,74242086.51628137,684.4180020893978,31245526612.397964,36080361.29465354,865.9981633007646,38161725.221627824,1.0576868926000111
China (mainland),157745227260.328,202306003.36525017,779.73576975632,77759127639.26492,106341819.28649531,731.2187073814694,95964184.07875486,0.902412472559059
South Korea,90689708759.31683,109797708.81093016,825.9708671652066,45189048533.220924,62036767.3909452,728.4236499372573,47760941.41998496,0.76988120801014
Bhutan,1644688894.7047377,1461942.8129919542,1125.002209449481,311582164.6920407,836756.6889770551,372.3688962354798,625186.124014899,0.7471540201001516
Netherlands,31919870169.086807,35935986.505425386,888.2424909712092,23450192436.101875,25548302.043229587,917.8767495555064,10387684.4621958,0.4065900130904621
"Areas, nes., Spec Cat, Islands, Other",2087718730.9233432,1806780.4132266936,1155.4911242340331,985866459.3763186,1310580.8475621168,752.2362784487373,496199.5656645768,0.3786104204006832
Bosnia and Herzegovina,291583968.40153146,611143.3400036702,477.11224080390105,463235293.7219615,452688.9556565203,1023.2970960162836,158454.38434714987,0.3500292692525457
"Other Europe, nes.",105955664.0405276,129772.37899939693,816.4731575200606,202737940.2635964,101111.2868386651,2005.0970233134165,28661.09216073183,0.2834608583952053
United Kingdom,15378614773.743725,19071449.41843603,806.3684325365166,14216521519.3457,15103076.82513566,941.2996890597492,3968372.593300373,0.2627525926833605
Austria,20371381847.321857,19974645.43039817,1019.8620004698516,15364702118.217093,15875548.654514426,967.8218027348574,4099096.775883744,0.2582018968344826
Zambia,550560113.6882184,453574.8799785098,1213.8240850425923,289087065.5790694,364112.57767050894,793.9496828935931,89462.30230800086,0.2456995659978455
Canada,20347047543.564545,25653414.203509472,793.1516398616836,21831402497.170246,21647464.564676967,1008.4969734882218,4005949.638832506,0.1850539875865728
Belgium,56017531908.5475,56142681.19026796,997.7708709476072,32479866310.468662,47476506.68932843,684.1250246781393,8666174.500939526,0.1825360605751448
Belize,10488191.341369629,18360.110618649825,571.2488099454008,14125344.676452398,15944.071181751124,885.9308589025644,2416.0394368987018,0.1515321531971077
Malaysia,15684244226.15314,22324253.86363008,702.5652154809698,16986894723.92083,19522853.46143032,870.1030695886966,2801400.40219976,0.143493388798633
Australia,3487405983.7325444,3827247.407799568,911.204741200044,3205914941.276373,3348214.3156765746,957.4999205594618,479033.09212299343,0.143071215567094
Croatia,766218787.5441556,1143684.6907265796,669.9563207909856,1095766152.4802778,1034216.4471216376,1059.5133693047924,109468.243604942,0.1058465506999107
Netherlands Antilles,926285.5677428246,1065.4593984737396,869.3766924105412,1083711.015472412,987.0587483390236,1097.919467606189,78.40065013471599,0.0794285550547471
Germany,87568789495.22942,88128706.37342834,993.6466005091872,82866679359.00713,85265665.52379914,971.8645699877588,2863040.8496292084,0.0335778866210817
Malta,21711930.987883743,21706.3122475182,1000.2588528305256,28968746.48011304,21900.144991540787,1322.7650543547811,-193.8327440225876,-0.0088507516318936
France,43108679125.63054,51738983.78991773,833.195319426259,51544634493.05954,55433892.19215179,929.8397145628736,-3694908.402234063,-0.0666543202383537
