Export_country,Import_country,Nominal Value (SUM),Tons (SUM)
Australia,Ecuador,15043.8935546875,6.76999998092651
Australia,Egypt,43.5325012207031,0.0299999993294477
Australia,Fiji,199373.4327859879,142.07859516734683
Australia,France,718874.9294643403,685.1410188055206
Australia,French Polynesia,36303.64111328125,22.49500000476837
Australia,Germany,12602192.740234379,11371.090099185883
Australia,Ghana,525.7209091186527,0.2360845684895831
Australia,Hong Kong SAR,15202.9716796875,37.108779762598196
Australia,India,2017552.1125679016,2014.9760976931623
Australia,Indonesia,50171763.139869705,59868.27714410544
Australia,Ireland,29980.09684753418,26.045701653112065
Australia,Israel,15434.025390625,20.0
Australia,Italy,36418206.42211913,76767.28872736484
Australia,Japan,19620362.13632202,13856.83126942897
Australia,Kenya,2203.80004882813,4.19999980926514
Australia,Laos,1908.36218261719,7.30000019073486
Australia,Lebanon,15035.7021484375,24.1049995422363
Australia,Lithuania,115.912498474121,0.100000001490116
Australia,Malaysia,116730943.15564346,202961.8907641215
Australia,Mexico,22521677.87939453,36098.31582031399
Australia,Mozambique,4619820.880859375,2638.9069881439214
Australia,Nauru,23101.75646972657,17.170999526977536
Australia,Netherlands,193368.7279644013,180.52611554323923
Australia,New Caledonia,833144.3753662109,477.96900317817966
Australia,New Zealand,91962109.26010664,57226.02913606252
Australia,Nigeria,40050.57421875,37.7999992370605
Australia,Norfolk Island,50704.5693359375,23.79199981689455
Australia,Northern Mariana Islands,160.833999633789,0.449999988079071
Australia,Oman,87594.94340515137,39.82001073658468
Australia,Pakistan,125913.513671875,168.7800006866454
Australia,Papua New Guinea,2117779.8183212285,1353.8827582289418
Australia,Peru,147061.46875,83.1999969482422
Australia,Philippines,18240531.37463382,45574.611339585594
Australia,Poland,18700.732421875,30.0
Australia,Qatar,3917.200164794922,2.89600002765656
Australia,Singapore,7371695.691513063,6679.97195093984
Australia,Slovenia,41140072.0,42000.0
Australia,Solomon Islands,1234.50183105469,1.54999995231628
Australia,South Africa,3491006.8206481934,2074.8852057195013
Australia,South Korea,21747747.092254646,26869.035047614805
Australia,Spain,15325352.238204956,15069.60355544911
Australia,Sri Lanka,78928.7446899414,44.409001171588926
Australia,Sweden,17964.26782226568,50.240999907255166
Australia,Switzerland,183584.65004730225,160.5166762259684
Australia,Taiwan,61681547.52307123,101778.97267224907
Australia,Tanzania,23595.49609375,16.0
Australia,Thailand,119179646.51923852,170822.77217415522
Australia,United Arab Emirates,2146630.7366638184,1425.5976213747351
Australia,United Kingdom,61498449.99694825,99700.00962442889
Australia,United States,2735145430.0,2787415.7468180116
Australia,Vanuatu,10095.083984375,7.19999980926514
Australia,Vietnam,3434536.8095703134,4097.543232777743
Australia,Western Samoa,33052.0,21.1700000762939
Austria,Afghanistan,83.3062973022461,0.0399469421902999
Austria,Albania,20424.188159942627,11.144697125480208
Austria,Algeria,187255.13703012466,266.28579475448066
Austria,Armenia,35571.85786437988,30.514575626530977
Austria,Australia,521.916625976563,0.241973541743696
Austria,Azerbaijan,48.0491981506348,0.0430179114995386
Austria,Bahamas,171.350006103516,0.100000001490116
Austria,Bahrain,17434.972915649418,23.31101817293081
Austria,Bangladesh,691273.6659775976,649.6977511021026
Austria,Barbados,380.860809326172,0.581438301070139
Austria,Belarus,6986032.459768296,5183.409107317889
Austria,Belgium,340774952.50131583,394924.38785112597
Austria,Bolivia,24.8490009307861,0.0119155650390677
Austria,Bosnia and Herzegovina,19866753.083082322,13574.440177589477
Austria,Brazil,67493097.95456874,55781.338340893424
Austria,Bulgaria,5696648.321495177,3124.922414672913
Austria,Cameroon,257.80060958862333,0.4493194143674327
Austria,Canada,2699922.426560402,1308.9092640169706
Austria,Chile,1026326.3420104973,899.5540152461664
Austria,China (mainland),66058764.44509399,39008.215115748186
Austria,Colombia,83173.4666824341,48.96772700954941
Austria,Congo,403.12109375,0.5
Austria,Costa Rica,1232.6240100860591,1.2329996889777899
Austria,Croatia,49725590.901449315,38695.036465180405
Austria,Cyprus,938.0003829002379,1.224419741604016
Austria,Czech Republic,1151844281.3983498,1034932.720190542
Austria,Côte d'Ivoire,2166.0063133239773,1.7133656630520042
Austria,Denmark,117622433.93302873,115308.32718267236
Austria,Djibouti,25.9381999969482,0.028016131193349
Austria,Dominican Republic,903.7917823791502,1.0477697196981801
Austria,Ecuador,366.5706958770758,0.3049868417049754
Austria,Egypt,12319072.695434572,14603.057385952596
Austria,El Salvador,398.270713806152,0.286837532474141
Austria,Estonia,8291093.623310093,8550.611795857807
Austria,Ethiopia,1092.392379760742,0.668355798036613
Austria,Faroe Islands,356.357391357422,0.364288046520579
Austria,Finland,21746371.16449106,13790.976025415788
Austria,France,941616155.1898792,709415.6386187033
Austria,French Polynesia,13.4748001098633,0.0059052003112938
Austria,Gabon,40.048999786377,0.043257359119351
Austria,Georgia,431.4930057525635,0.3111091552942763
Austria,Germany,7227516735.588562,6860570.160304134
Austria,Ghana,17253.411476135254,18.771658312487464
Austria,Greece,16297776.406859158,11203.116362909628
Austria,Guatemala,592.9988002777097,0.2598759663554177
Austria,Haiti,127.086502075195,0.100000001490116
Austria,Honduras,199.9070014953614,0.1920170766848436
Austria,Hong Kong SAR,300612.82480573654,140.40312930280174
Austria,Hungary,666106365.9576398,513861.3359510718
Austria,Iceland,1213.7517069578173,0.7343952353286383
Austria,India,13227139.692398554,7882.553347865094
Austria,Indonesia,386.86180877685524,0.30000000447034797
Austria,Iran,2092069.322265625,1315.9964182164629
Austria,Ireland,88578.38461685186,55.44621701943071
Austria,Israel,75435.36194229135,73.33375368913043
Austria,Italy,4506961993.086527,5101500.914131307
Austria,Jordan,27730.308496475223,24.757542892451703
Austria,Kazakhstan,990.2458953857417,0.6801216307827629
Austria,Kenya,6515.270320892335,10.7535121723659
Austria,Kosovo,3071.5279407501275,1.6908319506429041
Austria,Kuwait,15597.90108299258,10.955611927278404
Austria,Kyrgyzstan,1.97979998588562,0.00177249285852
Austria,Laos,3191.7515869140598,1.764345062647507
Austria,Latvia,95059.93682622915,52.27182450204688
Austria,Lebanon,86521.06526470181,37.54960067342331
Austria,Liberia,925.1296005249028,0.8643754660538817
Austria,Libya,878.5926856994639,0.9110807386221382
Austria,Liechtenstein,770445.8896427158,704.9378185081356
Austria,Lithuania,867054.5711178774,713.6565266035466
Austria,Luxembourg,19490372.558750868,22788.26127958524
Austria,Macedonia,1158613.8999385836,1179.7078514474758
Austria,Madagascar,36.63470077514652,0.0160548019011575
Austria,Malawi,7716.592868804939,7.501801352134221
Austria,Malaysia,32096.77024841311,17.219790449749198
Austria,Malta,53903.810386657715,70.13651388094168
Austria,Mauritius,30.868800163269,0.026505034046686
Austria,Mexico,106882291.44406465,97577.82813963252
Austria,Moldova,418148.8137211799,438.55512513319337
Austria,Morocco,77786.31144714357,68.91191669647682
Austria,Myanmar,13.4483995437622,0.0058936305195427
Austria,Namibia,202.6604938507084,0.0888139936486455
Austria,Nepal,2562.49755859375,1.12298967385952
Austria,Netherlands,312896757.5914351,234350.79559280293
Austria,New Caledonia,8.93360042572021,0.0039150636436025
Austria,New Zealand,3079.3187527656532,2.5966198007877135
Austria,Nigeria,1744.3822364807177,1.4642724996562615
Austria,Norway,17941911.010774735,16975.215420401863
Austria,Oman,29389.747589111328,49.90725425596652
Austria,Pakistan,2163.502548217778,1.137716548265333
Austria,Panama,15776.286707878124,11.57494477934421
Austria,Paraguay,267.9597969055172,0.21004373999636428
Austria,Peru,2906.4971828460743,2.567634373992086
Austria,Philippines,682.4715011119847,1.6899217329381697
Austria,Poland,850372560.0565994,1031653.7438906836
Austria,Portugal,184567.3456268311,92.8065577844712
Austria,Qatar,589.674590110779,0.3103710300208482
Austria,Romania,626206098.2805948,841540.6750508386
Austria,Russia,10608979.444055557,7339.176403129939
Austria,Rwanda,199.598098754883,0.100000001490116
Austria,San Marino,543.0726003646852,0.2379962940141332
Austria,Saudi Arabia,253.91349792480503,0.12175631556566041
Austria,Senegal,37523.016105651855,22.985524534995054
Austria,Serbia,78578465.80588223,92556.02687978724
Austria,Singapore,24745.64105987554,12.169033562056908
Austria,Slovakia,451518464.072919,478776.3824573769
Austria,Slovenia,504405795.98906165,362935.75823178695
Austria,South Africa,22280961.616923336,16972.87884212882
Austria,South Korea,3570.56875610352,1.68848407500231
Austria,Spain,239731134.2010812,235425.28580524327
Austria,Sri Lanka,1036.6091938018797,0.6566765235674992
Austria,Sudan,124.8474998474116,0.0643163031500426
Austria,Suriname,2410.12719726563,2.0
Austria,Sweden,277605950.8394269,152795.05593479596
Austria,Switzerland,1010760365.3166378,985995.1816161379
Austria,Syria,343.122009277344,0.307193310122734
Austria,Tajikistan,26819.538803100586,20.84604813144469
Austria,Tanzania,8.09459972381592,0.0035473797324747
Austria,Trinidad and Tobago,3353.642303466797,4.235295614024204
Austria,Turkey,236298437.6887417,189999.7152209476
Austria,Turkmenistan,22.0711002349854,0.0206216702407025
Austria,Ukraine,3408259.313178539,3545.3982512304983
Austria,United Arab Emirates,297940.1165237427,259.0853766222852
Austria,United Kingdom,211393863.27985886,183244.27860124828
Austria,United States,139228439.0,69573.24417237256
Austria,Uruguay,827.976806640625,0.877756108175135
Austria,Uzbekistan,1211.112722396853,1.116094388690113
Austria,Vietnam,2262.156738281255,1.100000001490116
Austria,Yemen,305.393600463867,0.273415486270847
Azerbaijan,Austria,744016.234375,451.099990844726
Azerbaijan,Belgium,150956.6171875,95.7119979858398
Azerbaijan,Canada,35060.0634765625,29.889
Azerbaijan,Estonia,667287.9921875,401.9099960327152
Azerbaijan,Ethiopia,128458.5078125,264.322
Azerbaijan,France,747283.8270263672,514.6799918413165
Azerbaijan,Georgia,3839182.087677002,3714.556018256477
Azerbaijan,Germany,7602775.05078125,6618.400047302247
Azerbaijan,Iran,32413836.671875,106906.375
Azerbaijan,Israel,153000.0,135.521768149409
Azerbaijan,Italy,4882694.7578125,2714.7670000000003
Azerbaijan,Japan,45396.22265625,39.92
Azerbaijan,Kazakhstan,267422.05000019073,226.77600430324674
Azerbaijan,Latvia,1479583.779296875,723.3700027465823
Azerbaijan,Netherlands,8365686.708618164,5793.33001995087
Azerbaijan,Peru,23035.052734375,10.0
Azerbaijan,Poland,686546.15625,430.70399093627884
Azerbaijan,Romania,588182.05078125,358.9199848175055
Azerbaijan,Russia,2328698.785949707,2691.008
Azerbaijan,Slovakia,244703.28125,110.0
Azerbaijan,Slovenia,97006.73046875,70.83299827575681
Azerbaijan,South Africa,1132.42065429688,0.639989990234375
Azerbaijan,Switzerland,544312.712890625,325.58000000000004
Azerbaijan,Turkey,223413399.80192068,422787.3510675056
Azerbaijan,Turkmenistan,33249.94921875,22.931
Azerbaijan,Ukraine,1443552.861328125,1256.77
Azerbaijan,United States,1125658.0,722.6800000000001
Bahamas,Finland,514.140014648438,0.400000005960464
Bahamas,Ghana,99254.21875,123.3353828125
Bahamas,Italy,2319.06518554688,1.69
Bahamas,Norway,452.353240966797,0.241
Bahamas,United States,21156.0,20.12
Bahrain,Argentina,595121.6875,513.0
Bahrain,Canada,1530548.4053273203,1456.1606217827252
Bahrain,China (mainland),73560498.0,110346.967
Bahrain,France,115092.72961425781,99.07999980449677
Bahrain,Germany,1315343.484375,1289.2999992370603
Bahrain,India,16506051.961036682,41847.237432545284
Bahrain,Indonesia,128467507.0,229480.505
Bahrain,Iran,289254.0,350.0
Bahrain,Ireland,78.31150341033933,0.060000000000000005
Bahrain,Italy,4443238.27734375,3356.555
Bahrain,Japan,2114720.00390625,2571.69
Bahrain,Malaysia,51302291.72631836,99955.43993882074
Bahrain,Mexico,219543.0,235.29743089430895
Bahrain,Netherlands,95546.43408203125,99.0400009155273
Bahrain,Peru,4070.44091796875,1.999
Bahrain,Philippines,103950945.0,201006.277
Bahrain,Qatar,139611567.90531918,385453.64941566053
Bahrain,Romania,61833.232421875,63.0
Bahrain,Singapore,109682.04296875,50.5099983215332
Bahrain,Slovenia,4889.80212402344,4.25999999046326
Bahrain,South Africa,214247.421875,96.0
Bahrain,South Korea,26362534.0,76661.462
Bahrain,Spain,1171563.859375,1400.0
Bahrain,Sweden,243818.875,216.0
Bahrain,Taiwan,16635646.546875,30190.0
Bahrain,Thailand,97210372.0859375,197211.894
Bahrain,Turkey,58228674.0,115717.67199999999
Bahrain,Ukraine,481470.0,399.0
Bahrain,United States,8259263.0,7513.0894560877305
Bangladesh,Austria,1195.09265136719,1.39999997615814
Bangladesh,China (mainland),77093583.0,116039.914
Bangladesh,Ethiopia,87752.6015625,73.53
Bangladesh,France,68.1311016082764,0.0637695522608604
Bangladesh,Germany,1181.30004882813,1.0
Bangladesh,India,6872102.17956543,7649.797443484274
Bangladesh,Indonesia,22314213.0,30433.939
Bangladesh,Israel,1000.0,0.895288852993488
Bangladesh,Kazakhstan,4800.68994140625,4.09600019454956
Bangladesh,Malaysia,591692.84375,802.65
Bangladesh,Netherlands,8482.980590820312,7.096999883651737
Bangladesh,Singapore,7504868.10546875,10434.979986190792
Bangladesh,Sri Lanka,125924.669921875,177.597
Bangladesh,Sweden,37.8496017456055,0.0280000008642673
Bangladesh,Thailand,1651028.4467897415,2232.0927167332584
Barbados,Costa Rica,30311.0,18.865
Barbados,Malaysia,2751.818359375,5.141
Belarus,Algeria,16429100.0,40758.026999999995
Belarus,Armenia,14900.0,9.681000000000001
Belarus,Austria,120319.9443359375,210.3000011444093
Belarus,Bangladesh,14800.0,7.864
Belarus,Belgium,459333.34179687547,531.2300000190742
Belarus,Brazil,9333105.0,15595.043
Belarus,Bulgaria,359410.6640625,259.5299987792964
Belarus,China (mainland),1600.0,0.802001579936408
Belarus,Czech Republic,4645092.672575474,6623.309396753904
Belarus,Egypt,499296800.0,1284458.161
Belarus,Estonia,221326.61177825928,162.31288302859798
Belarus,Finland,56.1184005737305,0.0500000007450581
Belarus,France,11769.50643920899,12.370000191032885
Belarus,Georgia,1900.0,1.42
Belarus,Germany,27417168.874511726,43905.69984946401
Belarus,Ghana,100.0,0.207
Belarus,Greece,55588.66015625,36.9899997711182
Belarus,India,47500.0,100.0
Belarus,Israel,100.0,0.12
Belarus,Italy,67544529.24731445,126326.082
Belarus,Jordan,51392700.0,116220.816
Belarus,Kazakhstan,19408694.42793274,30538.27397262911
Belarus,Kenya,3396300.0,10265.534
Belarus,Latvia,28808025.063156106,74513.57119891836
Belarus,Lebanon,2175800.0,4577.616
Belarus,Lithuania,342776.51820373547,350.58900063158956
Belarus,Malta,4014.36743164063,3.90000009536743
Belarus,Moldova,2029400.0,3555.855
Belarus,Morocco,8936500.0,20378.945
Belarus,Netherlands,4439241.261344434,4802.659993826879
Belarus,Norway,1481119.7943115234,2004.157
Belarus,Oman,32400.0,18.91
Belarus,Pakistan,155100.0,170.668
Belarus,Poland,65721484.4018555,86593.93761505187
Belarus,Portugal,28.0877990722656,0.0309999994933605
Belarus,Romania,63319745.04394531,109431.51001024243
Belarus,Russia,37386061.480831586,44410.7565448005
Belarus,Serbia,28200.0,55.0
Belarus,Slovakia,172258.55488586426,99.83499832451344
Belarus,Slovenia,171751.0661277771,317.2928816353567
Belarus,South Africa,643900.0,481.52
Belarus,Spain,46121.27575683594,66.231
Belarus,Sri Lanka,3921900.0,10158.037
Belarus,Sudan,16801800.0,35389.17
Belarus,Sweden,349236.3150024414,461.9869990851731
Belarus,Switzerland,407164.1293640137,521.3086999969482
Belarus,Syria,23651800.0,53429.356
Belarus,Tunisia,119409700.0,272546.814
Belarus,Turkey,324841066.7255764,707878.8359999999
Belarus,Turkmenistan,22800.0,26.634
Belarus,Ukraine,25961300.0,28907.778610176163
Belarus,United Arab Emirates,93700.0,78.356
Belarus,United Kingdom,4639002.217041016,4804.36
Belarus,United States,26542.0,26.000999999999998
Belarus,Uzbekistan,58600.0,89.542
Belgium,Afghanistan,1345603.500366211,2937.5863450985994
Belgium,Albania,59051.384765625,98.9490013122558
Belgium,Algeria,216717332.87282464,304901.5003800609
Belgium,Angola,1987428.8140258784,1745.1146273047946
Belgium,"Areas, nes., Spec Cat, Islands, Other",1319.6319856643702,3.003999916836616
Belgium,Argentina,79399778.60390855,73607.67048924923
Belgium,Armenia,1706.2687950134327,1.3179999431595195
Belgium,Aruba,8914.13671875,25.5
Belgium,Australia,43853787.55786134,37363.603621876835
Belgium,Austria,241437351.77418786,179686.05317506925
Belgium,Azerbaijan,343672.91819763184,224.6173641849251
Belgium,Bahamas,2398.23999023438,2.0245766014171
Belgium,Bahrain,439546.35192775726,785.5050094554899
Belgium,Bangladesh,193556451.30431753,395469.9483401849
Belgium,Belarus,183377.27880859424,126.05900156497994
Belgium,Belize,144852.796875,95.9349975585938
Belgium,Benin,129900.6325073242,132.44299921393394
Belgium,Bolivia,14736.376163482666,23.710000533610565
Belgium,"Bonaire, Saint Eustatius and Saba",10261.08203125,5.0
Belgium,Bosnia and Herzegovina,1391329.0129294407,1324.2125612948523
Belgium,Brazil,38734893.0,20887.313600929803
Belgium,Bulgaria,22074794.053864013,20903.399837553825
Belgium,Burkina Faso,70919.47248840329,81.94236583313172
Belgium,Burundi,93817.96643829349,97.10118425973705
Belgium,Cameroon,3903838.0034141536,4482.659984075972
Belgium,Canada,68996893.67982031,66499.80254667635
