Country,Nominal Value (SUM)_exporter,Tons (SUM)_exporter,Price_exporter,Nominal Value (SUM)_importer,Tons (SUM)_importer,Price_importer,Market share of value export,Market share of volume export,Market share of value import,Market share of volume import
Belarus,1436250733.3719373,3142174.988656146,457.0880802492152,2940665787.1914744,4836627.769580582,607.9991943325588,0.0011019593932307613,0.0017829971965569798,0.002258922608266665,0.0027477975000692154
Belgium,56017531908.5475,56142681.19026796,997.7708709476071,32479866310.46866,47476506.68932843,684.1250246781393,0.04297929605042173,0.031857628404155826,0.024949963590479643,0.026972475991111633
Belize,10488191.341369629,18360.110618649825,571.2488099454008,14125344.676452398,15944.071181751124,885.9308589025644,8.047035728566489e-06,1.0418269472487052e-05,1.0850624568823158e-05,9.05818703057658e-06
Benin,7.2695000171661395,0.005,1453.9000034332278,109074877.92538536,148911.5101957348,732.481174772946,5.577503733766886e-12,2.8372022611629548e-12,8.378772889213621e-05,8.459999299943116e-05
Bhutan,1644688894.7047377,1461942.8129919544,1125.0022094494807,311582164.6920407,836756.6889770551,372.3688962354798,0.0012618829946267208,0.0008295654909423407,0.00023934715710340233,0.0004753803781630955
Bolivia,37112.59996414185,21.80491333305835,1702.029235212578,437393834.91830206,593776.8623388357,736.629974424139,2.8474539429259242e-08,1.2372989882603083e-08,0.00033599153862263646,0.000337338049497053
Bosnia and Herzegovina,291583968.40153146,611143.3400036702,477.11224080390105,463235293.7219615,452688.9556565203,1023.2970960162837,0.00022371699135095263,0.0003467874532306187,0.00035584209619923503,0.00025718282239648094
Botswana,3681859.4016999016,9931.208464685133,370.73629204264563,276856785.6686065,257828.7137752777,1073.8012132733734,2.8248964181433863e-06,5.635369422417067e-06,0.0002126722646017347,0.0001464783168995461
Brazil,56862580489.19226,110558267.52708869,514.3222823680729,8298699654.963992,9379886.163980313,884.7335148726876,0.043627657231057354,0.06273523332362298,0.006374787761147345,0.005328925230595939
British Virgin Islands,3080748.0922851562,3759.038889892578,819.5573875462604,29358891.804201126,61160.02800029393,480.03398239222565,2.363695432552465e-06,2.133030727640541e-06,2.2552533762602172e-05,3.4746393572053646e-05
Brunei Darussalam,130558.31204223633,162.94107458291043,801.260899846364,54872414.891558886,80475.90531574264,681.8489916487437,1.0017050294660355e-07,9.245935704859102e-08,4.215118192234741e-05,4.572017983959522e-05
Bulgaria,220214013.79734764,245528.07990918,896.8995068865607,4479929075.46669,7319570.734671464,612.0480609943542,0.00016895859155129406,0.0001393225646994648,0.003441333971402428,0.004158413490656973
Burkina Faso,37930.18869781494,160.02,237.03405010508024,47141930.896081924,62970.733604678026,748.6323915492673,2.9101832118437203e-08,9.080182116625921e-08,3.621287871690072e-05,3.5775096331521816e-05
Cambodia,8351722.888763428,13580.263999978542,614.9897298592003,193779104.8677374,193682.77530641734,1000.4973573988067,6.407836231579417e-06,7.705991145585798e-06,0.0001488547263351104,0.00011003556013565047
Cameroon,724420.5784606934,616.428,1175.190903821198,608497337.549747,998127.6572458601,609.638790321448,5.558096803963103e-07,3.4978618308883156e-07,0.00046742761413019263,0.0005670588707652298
Canada,20347047543.564545,25653414.203509472,793.1516398616836,21831402497.170246,21647464.564676967,1008.4969734882218,0.015611215816408182,0.014556784956949386,0.016770164391284544,0.012298413656673536
Cayman Islands,55026.0,47.43,1160.1518026565466,2704111.4195667505,2187.1212069994435,1236.3793149244693,4.2218545942572e-08,2.6913700649391787e-08,2.0772093338649317e-06,1.2425529669120237e-06
Chile,161348291.3324188,242154.9368444995,666.3018868619188,2971613804.8112082,4093807.7540507927,725.8801544529829,0.00012379402919298542,0.00013740850687339728,0.002282695856143643,0.002325784668213203
China (mainland),157745227260.328,202306003.36525017,779.73576975632,77759127639.26492,106341819.28649531,731.2187073814695,0.12102958827302766,0.11479661003894562,0.059732000891943485,0.06041518990277462
Colombia,135281922.65988246,116486.21082534862,1161.3556806540375,4242388732.0539794,6319811.543365654,671.2840569601336,0.00010379468009696726,6.609898814959675e-05,0.0032588633028730156,0.0035904277085343295
Congo,941158.3753335476,2589.1704001908306,363.4980437224916,63955340.059529215,71034.92259958477,900.3365910601142,7.22101154149962e-07,1.4692000227915234e-06,4.912838589448534e-05,4.03565442774761e-05
"Congo, D.R.",494442.4754257202,622.4633554930496,794.3318607632336,278133148.5619334,230631.7661806847,1205.9620110788837,3.7935961844800273e-07,3.5321088793919205e-07,0.0002136527245399728,0.00013102711656530648
