Import_country,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
Mexico,0.01774308447507225,0.020142491614283834,0.022321106120762758,0.04579917478125795,0.05584021481185726,0.08017311077273939,0.07978576532762159,0.03373552236633349,0.06569604356434626,0.10846502133049364,0.11054636081604066,0.12148401367373131,0.12042074770342477,0.05052254772266332,0.0358010554964319,0.019226941693003523,0.008796720019199733,0.001783498517862301,0.0017165791928738861
Netherlands,0.009676938356920527,0.01605638633227649,0.015747258324960448,0.021208111673208175,0.0359668260737201,0.051846196218607504,0.040048538394823405,0.02624044329921357,0.07210697005468689,0.11447561147693187,0.12366173030561606,0.1312285722122317,0.07592116364716468,0.09329420698041806,0.06715675875807918,0.048390599701277764,0.025659252848854272,0.015530305915403282,0.015784129425606128
Russia,1.1328265493152459e-05,0.01196572444785712,0.07107534370039105,0.011948803322842988,0.0254121276382692,0.061697388867304144,0.03164705285080158,0.09060743618973395,0.07361237378379787,0.11614398035456298,0.09626569640055015,0.10276582642534962,0.09198357746462901,0.09231247704839456,0.05086415743262504,0.028465295389686323,0.017897007009630518,0.014748924083728644,0.010575479324352231
Slovakia,0.0027329132861922782,0.001694604014508491,0.006853351995159037,0.0025435869123578096,0.006073789100229761,0.009434228907708625,0.010017896242671838,0.026077400646211068,0.041974708713100925,0.07617463440238915,0.17817421837432165,0.19229104653639767,0.15242230874396792,0.10701313769920712,0.06093427469964531,0.06638435711654946,0.040853089834841934,0.011998007934926539,0.00635244483961341
South Africa,0.00029028692938136696,0.0010315188913150217,0.007010696520391518,0.038628070043375,0.01917187962190415,0.05739044810706053,0.06861922937750876,0.15007276945148326,0.06370651167872152,0.06978754452299282,0.10072256478393159,0.08966375922279153,0.0833020501140522,0.08719480948659321,0.06533610276463486,0.05578121460091924,0.025054866315801786,0.010589246958097615,0.00664643060904402
South Korea,0.004634499979638003,0.007939634412431671,0.007145816703799201,0.024036684941586985,0.025674384629291423,0.06067974370555656,0.11659537543769537,0.11652300399107224,0.13227634718684367,0.1750829802262504,0.14836540251959962,0.09342042559244194,0.01952957125228824,0.017201215341706093,0.024395439771707928,0.008969773381830118,0.0071494200272075965,0.006152793888473811,0.004227487010579017
Spain,0.00913355816032213,0.020601614365336286,0.022167526616206256,0.025929477156249475,0.0346940802285929,0.06362054297090702,0.09106051937910904,0.12143588420673132,0.1400690896710714,0.09521703194732055,0.12551178489207754,0.09615620154764448,0.053796108963374036,0.04410529528444661,0.031576136091902664,0.015343436123758736,0.0056046863579343196,0.0029320072423096827,0.0010450187947055787
Sweden,0.003179083006253204,0.0024818013397673064,0.010964350685272293,0.00868469303380138,0.024951412456699767,0.01127965217443081,0.03176584231088254,0.0244962922587249,0.036649658877535914,0.046886700261837264,0.09886676634348553,0.09960465826899285,0.11071792474182542,0.10847523940588032,0.11058870150184975,0.08084214241247102,0.060675145913527975,0.06738341666419068,0.06150651834257113
Taiwan,0.014361545885157541,0.01471592916099307,0.04660069289504977,0.08140885782439784,0.10447977120758022,0.15815119211561451,0.15889976423203245,0.0656317561014669,0.027496887467839605,0.05223324094956974,0.05189165085638485,0.03034620966350781,0.045185537419473606,0.029213015117794765,0.025989146510900483,0.034448196374991066,0.024910041319544374,0.02404092522780069,0.009995639669900679
Ukraine,0.009299934266201678,0.005438169600249318,0.0,0.0005006166872495482,0.011111722060269943,0.024250424420071484,0.029286860966286462,0.11687902583496557,0.13177018822082384,0.16152107364228857,0.11817952469023406,0.07656978455000898,0.08450096197937558,0.1034463407389895,0.05032166168145208,0.04465004316667843,0.01782923792967926,0.008580185152593301,0.005864244412582366
United Kingdom,0.0044948227939581205,0.014142630673594652,0.008771988617545154,0.017313664652060738,0.021422130716505103,0.030556882194689373,0.06021429831103827,0.06920341450476468,0.07206754552192239,0.1039050736120944,0.11262112323100926,0.10138187258692834,0.10426090435786241,0.09801896425046099,0.0636376353352388,0.049334763114847156,0.028506816043692706,0.022181674274239307,0.017963795207548157
United States,0.00467465080052212,0.015459302722156763,0.041478860891015816,0.05406949872863627,0.10059321797017652,0.11108623855439145,0.1250157841633693,0.0825222845163117,0.08245756424792407,0.09128465364703582,0.14104944081502954,0.043320302529759186,0.029792506603590556,0.023530599522118865,0.01551206926218289,0.013930162261680189,0.011319010889535498,0.007749966964613818,0.0051538849099496626
Vietnam,0.0017807515137544122,0.010008198231383226,0.018706467851189484,0.053001902645033655,0.0589513443392776,0.10430645794821349,0.07581651236033723,0.19562032997555556,0.17808182178020246,0.0864471081395125,0.03630391720175135,0.040701975227452954,0.043476850265062775,0.03018511611646753,0.01802498644407081,0.020156965943604645,0.015071249582208748,0.004622404055553657,0.008735640379367877
