Export_country,Import_country,Year,Nominal Value (SUM),Tons (SUM),Nominal Value (SUM)_exporter,Tons (SUM)_exporter,Nominal Value (SUM)_importer,Tons (SUM)_importer,GDP_exporter,GDP_importer,Comprehensive trade cost,Distance,Distance capital,Distance weighted with popuation,Distance weighted with population_1
Austria,China (mainland),2020,4962993.01707315,2598.71163756743,1473902702.6853168,1657229.2077947774,13261022463.86653,28105334.90947255,435049316955.73663,14687744162801.031,119.93119685572596,7468.012,7468.012,7929.167,7904.206
Austria,France,2013,91519421.25743103,71656.64785335555,2188905466.4540124,2137436.8665580084,5396794016.995024,5490612.356615786,430190979705.962,2811876903329.028,67.62587162650975,1035.144,1035.144,975.7691,920.6031
Austria,France,2014,90092516.53234297,70084.0400923916,2044632161.1801672,1975649.3902715652,5203334306.590023,5467911.399800222,442584815286.03375,2855964488590.186,66.7488804552076,1035.144,1035.144,975.7691,920.6031
Austria,France,2015,58592831.83996964,53499.46021375126,1634109154.8728929,1937191.7303749104,4217671406.794942,5904247.516718729,381971148530.5428,2439188643162.4985,69.17223229037366,1035.144,1035.144,975.7691,920.6031
Austria,France,2016,56710047.76613571,53357.782782490416,1550118150.9583142,1926060.405623313,3859970752.4818077,6037136.278622928,395837353031.499,2472964344587.165,70.28250508858302,1035.144,1035.144,975.7691,920.6031
Austria,France,2017,75175333.4715433,59244.23486111318,1909862076.1280394,2053050.4243765394,4725919441.058905,5730312.676879951,417261151844.9772,2595151045197.6514,64.52205420324529,1035.144,1035.144,975.7691,920.6031
Austria,France,2018,74926615.50526714,60789.79903356488,1918138823.85291,1831897.66935291,5026368419.478116,5402079.108278554,454991174096.1016,2790956878746.665,65.48053122648537,1035.144,1035.144,975.7691,920.6031
Austria,France,2019,102392870.35529184,99359.36181225411,1749188482.3448749,1830112.118698807,4299170100.448458,5041271.005445845,444596155845.2542,2728870246705.878,66.07545560129246,1035.144,1035.144,975.7691,920.6031
Austria,France,2020,74246658.29613157,62881.616339854074,1473902702.6853168,1657229.2077947774,3452520224.912236,4107915.5964212953,435049316955.73663,2647418691598.4507,66.12190298071144,1035.144,1035.144,975.7691,920.6031
Austria,France,2021,85044713.55932166,55669.83211697547,2051149222.235351,1720019.25358783,5269336216.681759,4560214.749287587,479295362747.0466,2959355819170.495,58.51924531621704,1035.144,1035.144,975.7691,920.6031
Austria,Germany,2013,893986838.3254395,823168.3462998959,2188905466.4540124,2137436.8665580084,7660769130.028058,7804270.219453533,430190979705.962,3733804649549.0303,29.248245908248837,763.7314,523.9359,592.3266,529.5919
Austria,Germany,2014,799169255.3812256,728624.0673318167,2044632161.1801672,1975649.3902715652,8084605679.442623,8611952.564951917,442584815286.03375,3889093051023.516,29.811752381420575,763.7314,523.9359,592.3266,529.5919
Austria,Germany,2015,657609526.4058837,723450.2730137913,1634109154.8728929,1937191.7303749104,7356612093.438816,9116047.871181212,381971148530.5428,3357585719351.5605,30.076292562124564,763.7314,523.9359,592.3266,529.5919
Austria,Germany,2016,550492781.2320557,669943.7515385953,1550118150.9583142,1926060.405623313,6615494960.859029,9143849.52697787,395837353031.499,3469853463945.5337,30.62274378003982,763.7314,523.9359,592.3266,529.5919
Austria,Germany,2017,714030168.2593994,767342.7267244572,1909862076.1280394,2053050.4243765394,8461515061.557692,9945843.812971214,417261151844.9772,3690849152517.653,28.36101784629479,763.7314,523.9359,592.3266,529.5919
Austria,Germany,2018,740229638.6010742,713316.9226716089,1918138823.85291,1831897.66935291,8997961217.926144,9278860.136460012,454991174096.1016,3974443355019.605,28.073050160896983,763.7314,523.9359,592.3266,529.5919
Austria,Germany,2019,578737897.9758301,571083.3726436154,1749188482.3448749,1830112.118698807,7083376737.571035,7599105.66885225,444596155845.2542,3889177589254.896,28.714944732719605,763.7314,523.9359,592.3266,529.5919
Austria,Germany,2020,450066781.4689943,477241.2752562599,1473902702.6853168,1657229.2077947774,5323625257.322399,5676066.502543595,435049316955.73663,3887727161914.408,28.098085058170618,763.7314,523.9359,592.3266,529.5919
Austria,Germany,2021,642379794.2608643,557261.8968253774,2051149222.235351,1720019.25358783,8780285317.53357,7469964.177383542,479295362747.0466,4278503934689.8535,23.028923094248952,763.7314,523.9359,592.3266,529.5919
Austria,India,2013,3346087.0446944265,2189.550519917925,2188905466.4540124,2137436.8665580084,2515903869.283056,3413435.943207059,430190979705.962,1856721507681.0784,141.0769063873811,5571.096,5571.096,6155.084,6118.731
Austria,India,2015,908541.472534179,496.055478035414,1634109154.8728929,1937191.7303749104,3009656550.9680643,4834152.364264667,381971148530.5428,2103588360066.3235,148.18581670499387,5571.096,5571.096,6155.084,6118.731
Austria,India,2016,1163100.026151657,688.896765745219,1550118150.9583142,1926060.405623313,2406570202.320619,3583062.328861719,395837353031.499,2294796885682.5454,145.8096030694674,5571.096,5571.096,6155.084,6118.731
Austria,India,2017,4358545.747163776,2712.4573286564887,1909862076.1280394,2053050.4243765394,2541808762.785704,3292046.718043796,417261151844.9772,2651474262735.283,144.78170734449338,5571.096,5571.096,6155.084,6118.731
Austria,India,2018,886992.682315826,510.044918499299,1918138823.85291,1831897.66935291,3011433802.629346,3257265.391777793,454991174096.1016,2702929641707.377,140.26821563635684,5571.096,5571.096,6155.084,6118.731
Austria,India,2019,811651.960724831,381.196848935012,1749188482.3448749,1830112.118698807,3084864256.895604,3408819.463555711,444596155845.2542,2835606256616.0254,140.45650023772387,5571.096,5571.096,6155.084,6118.731
