Export_country,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
Italy,723739.8725713848,723765.5081346865,662562.7830763136,730649.375500232,772739.2422582809,726993.5286858126,577927.015510777,539454.769686976,575553.519597617,674959.013070286,552124.7444572144,589300.6915498809,684493.5787540079,722652.4494761031,609653.7922448004,698346.5029405119,737307.1796235255,796809.2760591079,721493.581904352,723601.2468610144,739690.163020498,797956.153482783,697961.6970712007,701033.4993295756,868031.7972062982,794969.4426247536,607882.2291004851,562142.2674205446,589304.3550891537,448945.08321933245,451429.1988995875,610958.6122052636,627275.8379337839,704986.8138606538,585424.6142780507,612368.8764686397,597331.8994563255,529511.5854216331,473392.9266472422,520820.1294526206,587774.1653562322,686441.4312445093,400523.2816249758,
Japan,4343077.757275944,4089959.190851354,3923400.647207301,3537179.9115992673,3846308.4546995275,3805245.878764948,3721849.9710755018,3675010.5562940347,3755202.531913675,3489634.8721037474,3215670.7336121015,3512419.927923884,3664682.0158347692,3540050.1996523784,3454634.3446888668,3374911.5638599102,3279305.7168529737,3383630.4084962835,3210482.803345485,3416809.4257388674,3246749.88181781,3270311.7820975054,3162455.2128846557,3197652.893732063,2392285.65565072,2919413.8408743874,3034544.311392359,2748151.1338267257,3132383.2358548855,2754910.472500359,2560958.322178787,2581669.07858268,2916880.455699682,3027166.0685255397,3098586.642577233,2753512.41790968,2448998.9579254654,2766011.8001021044,2391238.7127714828,2251109.8691430767,2316752.521376892,2474720.2363991505,2308350.027366034,124400.60578628311
Malaysia,274564.2814242893,266647.6303306069,215417.4983632105,163934.13674754475,274268.2896176207,384819.147637334,248305.07618533826,191538.4481885783,148811.94018582883,245902.34140837094,209255.83486877245,156062.71833561038,184308.34597121578,167883.31880946603,248932.36135980583,315621.5259566186,368413.8308812424,380025.49044156994,374859.0355596977,417771.4515772575,471764.0252620731,457846.6757110675,574075.8266308217,743121.1486547566,996012.2073040014,1174783.9787480026,785753.7224933876,1124578.8769121277,868419.002030921,851128.9628856351,837631.9819201118,622394.7245191452,742701.5115685345,631395.3702348346,788668.8618673101,718881.8351991943,642806.7372994574,657060.3761916903,671246.7257385771,639082.9610999655,655393.2499897301,593281.602607876,792728.5386108815,46152.256300000015
Mexico,417895.18883946515,520692.7952224318,413540.34522145835,344518.3112120652,418097.15671817993,514805.5653629459,390768.0732127208,353984.606617903,261515.8895861476,269344.86706845363,313969.5350693205,181876.3092328742,205457.68650138035,190747.80114689594,343222.2322878628,297985.88455958955,314068.4421836007,349908.7914027841,346880.62078017823,288171.42438576964,445662.2348935553,492766.83993217873,556697.8831582356,538206.1981053596,549361.0923660856,334934.6049617458,490974.2781294113,513298.76811998285,436177.29757147236,462874.4829741227,551006.215659883,647137.3157862228,541238.4165599394,803274.358839155,605946.7737079316,684306.6213249811,724151.2851283501,708512.7458177427,523388.11583026196,445251.7015102525,570838.992580093,488204.5184978607,472972.48511642736,58.526219443378146
Netherlands,818687.1553572818,826023.307002838,820676.9405784229,920701.8418604519,917688.4411584764,882001.493118024,906877.1370329979,933748.0289367873,1031235.1867147586,861071.50430358,829850.0550817614,886230.4355156019,939816.4810581035,883679.4489358783,855749.539101423,875295.5367185505,992593.884739895,985116.9728662597,1006169.7312204497,913686.3944494729,867306.5330890111,950005.9013790656,906933.4365525115,927327.7474501855,876401.3788191377,815268.8416554099,761036.2428134738,759831.3215691103,862331.3409752072,690937.8524155454,651799.75914662,741407.6476127222,840369.6653324771,765011.495632579,807160.2159704249,779213.9012901786,785392.9309995167,693977.213574759,611582.2670114611,730893.5883321969,790228.1085896277,693137.2433888203,540537.9175129934,994.43856133715
Russia,4923428.410800999,4665177.822862504,4978379.409245308,5797136.82930884,6089889.443960568,6196260.241116596,6206867.250529068,5658286.933236361,6260594.781513576,6667857.200932208,6345713.409838351,6091864.156269017,4036382.6156886155,5717030.2789480155,6703274.33178017,6130347.648281335,6576578.456864277,6348216.244321028,6717570.480669982,7114340.299797879,7632036.142441422,8573015.42478176,6969740.887159168,7468625.002790272,7688275.486767583,7175108.754908481,6570062.904280528,6576385.603998576,6961542.483632684,7078667.913897438,4877320.003077094,6136468.257536609,7042944.258505522,7538069.252660003,9157499.41077842,6191443.022482825,5068277.519847715,2907973.7245219517,2152676.2716012183,2054095.2532582115,2159471.487528714,2889745.9261564626,1870322.1240049829,48089.36
Slovakia,420251.207741885,428813.9973342177,371502.31558088807,357393.9681097601,395613.73951611336,517857.5749481875,445522.82648269593,474628.10485504445,594212.9932675406,465410.5982172959,563587.8735055282,502064.1262991487,484301.828448218,524592.4485663335,612652.6181028207,637471.4703153485,507032.35256796016,672576.589043294,552759.31689665,621950.4527254226,600243.7317310189,564360.6889929307,641367.9508587637,493796.04171208636,467053.72448414913,444953.6113565696,373765.43532946066,356858.26946974336,356449.89589252404,271014.1193561827,321607.518408337,347979.7393045121,441535.2008846204,483402.6809776573,462624.2175609739,491886.184104857,467008.75060455955,457106.03646003327,377603.27196507086,321878.13908154104,338622.92903775437,372351.361924419,231476.0063270847,346.143142000613
South Africa,405849.92911937047,464282.2812757975,465721.07586672297,451466.4473459364,588370.0702956952,582408.276026557,557633.054949912,469391.61870108685,461542.2986411822,470106.8134999919,473291.854512668,372209.625490711,298022.08277466765,425188.6348140087,336568.24376944447,414226.78696382797,391611.8311201422,607025.1978080887,423206.5303243716,457008.40865894395,484077.21866506495,476378.88684023125,386008.2885658314,495781.2451561961,521719.1289715173,475289.9841329332,424630.578105008,378299.352902554,355699.9995178182,222808.69543019912,295732.8272657432,328819.3344415573,325291.94775834924,301924.1093464073,314979.1607613805,299366.5260525264,299644.24539424817,335252.074918118,433243.13176307536,344864.81763889914,380096.61314816354,454492.5165604234,343496.5661817613,2580.444
South Korea,2835341.475299445,2717264.1913887043,2498038.115656907,2793036.477488708,2658811.8853097335,2737302.0954718245,2598296.0646580164,2549593.9818484713,2560475.65983408,2526213.377733956,2696238.8060331335,2913174.382600729,2648846.32969422,2432921.3391192104,2773831.33920555,2529569.7292669853,2585406.2015656377,2570349.089665506,2692314.7641641865,2550887.7415983328,2524611.094706212,2757235.081115036,2857228.478268978,2489158.8420586013,2605887.3065864407,2556775.890692308,2635376.409310565,2546921.3664574227,2515135.6227250234,2075462.5568377767,2707252.14579356,2542694.513606798,2565887.5989966756,2412537.2039011437,2371624.938182509,2264319.524583745,2305425.4679306326,2167847.8113294058,2204585.434163399,2316873.557314927,2301057.1915706065,2210820.826656856,2290802.9755315366,704273.9250066604
Spain,264873.807012275,308391.44075257314,313226.18708178523,325204.6623284553,359865.56279307895,354564.7560177175,300543.8147748167,331643.9157535191,368535.71390068874,352470.75365805835,260993.39109777266,332945.5777889063,355872.8811562772,429666.23203641217,296765.2876126155,336372.9637689511,348828.62177438155,331559.67217531125,354336.53629926906,438613.8057150154,382588.0224150846,367957.7163585202,298949.4530656339,333529.65678087407,317751.6626831618,327202.5261362752,248681.88322736902,308658.01228770515,315107.4881721692,222739.17713314533,217348.71847059194,261181.38062471154,380298.50758996065,375620.58668726543,428521.5079044063,309363.692926399,255648.0414820954,242520.5287150321,184565.7492913842,196133.28802314133,213858.2611178163,189862.00827844342,266636.25647529785,
