Export_country,Import_country,Nominal Value (SUM),Tons (SUM),Nominal Value (SUM)_export,Tons (SUM)_export,Nominal Value (SUM)_import,Tons (SUM)_import,Nominal Value (SUM)_product,Tons (SUM)_product
China (mainland),India,6294263058.3006525,7647647.152331671,157745227260.328,202306003.36525014,31245526612.397964,36080361.29465354,4.928832696341344e+21,7299273693495620.0
China (mainland),Indonesia,7767596898.550186,12504907.962720118,157745227260.328,202306003.36525014,38517934065.54635,59878521.730703816,6.076020262767938e+21,1.211378441875797e+16
China (mainland),Iran,1798533417.0,2727808.2713915757,157745227260.328,202306003.36525014,7489451633.987148,10946534.846878693,1.1814252500585375e+21,2214549715570468.8
China (mainland),Italy,6403233400.65735,5456854.931404223,157745227260.328,202306003.36525014,85028215439.92317,115714020.75218743,1.341279516811081e+22,2.3409641071698656e+16
China (mainland),Japan,6092657134.678224,4330456.716278844,157745227260.328,202306003.36525014,29543652475.693275,33028302.14139705,4.660370173878388e+21,6681823804165970.0
China (mainland),Malaysia,3343824740.737521,3593380.222458571,157745227260.328,202306003.36525014,16986894723.92083,19522853.46143032,2.679601568672158e+21,3949590458067407.5
China (mainland),Mexico,3248858019.0,3171124.126422359,157745227260.328,202306003.36525014,55197296936.53189,71488192.66756846,8.70711014940903e+21,1.4462490546380756e+16
China (mainland),Netherlands,197968548.70919174,162669.32549665973,157745227260.328,202306003.36525014,23450192436.10187,25548302.043229587,3.6991559351313147e+21,5168574879134032.0
China (mainland),Russia,696420600.6090342,666057.7480543676,157745227260.328,202306003.36525014,7505180857.672238,8804172.188609717,1.1839064600233705e+21,1781136888417119.2
China (mainland),Slovakia,16240820.17967225,10028.536846601122,157745227260.328,202306003.36525014,6649030435.855892,6467076.028096452,1.0488528171649254e+21,1308328304703409.5
China (mainland),South Africa,1501587788.367897,2013218.321689426,157745227260.328,202306003.36525014,3491987766.0907483,3966841.6543924217,5.508444037522702e+20,802515881082927.8
China (mainland),South Korea,18841101227.0,23948448.269690048,157745227260.328,202306003.36525014,45189048533.220924,62036767.390945196,7.128356730550926e+21,1.25504104725618e+16
China (mainland),Spain,1212777505.4304838,1426443.9698808778,157745227260.328,202306003.36525014,30411831383.82331,41310141.89855985,4.797321253043984e+21,8357289705949011.0
China (mainland),Sweden,141341193.1307303,110328.3518158696,157745227260.328,202306003.36525014,8710318987.062227,7368504.891323383,1.374011248124081e+21,1490692775340930.5
China (mainland),Taiwan,14345858799.102884,12400498.124860292,157745227260.328,202306003.36525014,52669875859.60428,75539050.02115303,8.30842153724654e+21,1.5282003307787184e+16
China (mainland),Ukraine,234472785.67239666,188240.31210139804,157745227260.328,202306003.36525014,2669614115.0918794,2993415.9970440585,4.2111888528254796e+20,605586026771588.9
China (mainland),United Kingdom,538121806.1374359,470285.84354921064,157745227260.328,202306003.36525014,14216521519.3457,15103076.82513566,2.242588417920531e+21,3055443111011526.0
China (mainland),United States,2859615190.0,3142092.0131154615,157745227260.328,202306003.36525014,120595761242.0,180354448.0683238,1.9023405763751546e+22,3.648678757784814e+16
China (mainland),Vietnam,17352281492.0,28321972.20127193,157745227260.328,202306003.36525014,32798944594.642277,47520626.184310265,5.173876968980753e+21,9613707960761866.0
France,Austria,364589324.01920867,251759.74383703756,43108679125.63054,51738983.78991773,15364702118.217093,15875548.654514426,6.623520134751165e+20,821384754491972.1
France,Belgium,3768162836.3201957,5043199.304891307,43108679125.63054,51738983.78991773,32479866310.468662,47476506.68932843,1.400164134821371e+21,2456386210001084.5
France,Brazil,39462893.002433784,22200.704697948422,43108679125.63054,51738983.78991773,8298699654.963992,9379886.163980313,3.5774598058582363e+20,485305778189451.0
France,Canada,54399747.80322839,50085.193176388326,43108679125.63054,51738983.78991773,21831402497.170246,21647464.564676967,9.411229251130014e+20,1120017818204640.0
France,China (mainland),93248869.15996289,49439.26060825671,43108679125.63054,51738983.78991773,77759127639.26492,106341819.28649531,3.3520932824900205e+21,5502017664254342.0
France,Germany,10700819707.79541,10489979.85918257,43108679125.63054,51738983.78991773,82866679359.00713,85265665.52379914,3.5722730906939493e+21,4411558886372390.5
France,India,264804193.8289537,166155.2751677679,43108679125.63054,51738983.78991773,31245526612.397964,36080361.29465354,1.3469533808452137e+21,1866761228158454.8
France,Indonesia,4484586.635799409,2257.266472059583,43108679125.63054,51738983.78991773,38517934065.54635,59878521.730703816,1.6604572602138312e+21,3098053865189121.5
France,Iran,4904518.285644531,2561.946461193712,43108679125.63054,51738983.78991773,7489451633.987148,10946534.846878693,3.228603673164813e+20,566362588998426.2
France,Italy,6948865961.732206,8466799.43843825,43108679125.63054,51738983.78991773,85028215439.92317,115714020.75218743,3.665454056024632e+21,5986925843963629.0
France,Japan,37882347.167362206,21102.654630817324,43108679125.63054,51738983.78991773,29543652475.693275,33028302.14139705,1.2735878347738018e+21,1708850789102247.0
France,Malaysia,2973015.0153503427,1670.890889939986,43108679125.63054,51738983.78991773,16986894723.92083,19522853.46143032,7.322825939943694e+20,1010092598773882.5
France,Mexico,188157607.42277434,179641.0195325351,43108679125.63054,51738983.78991773,55197296936.53189,71488192.66756846,2.3794825622391027e+21,3698726441597840.0
