Country,Nominal Value (SUM)_exporter,Tons (SUM)_exporter,Price_exporter,Nominal Value (SUM)_importer,Tons (SUM)_importer,Price_importer
Botswana,3681859.4016999016,9931.208464685133,370.73629204264563,276856785.6686065,257828.7137752777,1073.8012132733734
Brazil,56862580489.19226,110558267.52708869,514.3222823680729,8298699654.963992,9379886.163980313,884.7335148726876
British Virgin Islands,3080748.0922851562,3759.038889892578,819.5573875462604,29358891.804201126,61160.02800029393,480.03398239222565
Brunei Darussalam,130558.31204223633,162.94107458291043,801.260899846364,54872414.891558886,80475.90531574264,681.8489916487437
Bulgaria,220214013.79734764,245528.07990918,896.8995068865607,4479929075.46669,7319570.734671464,612.0480609943542
Burkina Faso,37930.18869781494,160.02,237.03405010508024,47141930.896081924,62970.733604678026,748.6323915492673
Cambodia,8351722.888763428,13580.263999978542,614.9897298592003,193779104.8677374,193682.77530641734,1000.4973573988067
Cameroon,724420.5784606934,616.428,1175.190903821198,608497337.549747,998127.6572458601,609.638790321448
Canada,20347047543.564545,25653414.203509472,793.1516398616836,21831402497.170246,21647464.564676967,1008.4969734882218
Cayman Islands,55026.0,47.43,1160.1518026565466,2704111.4195667505,2187.1212069994435,1236.3793149244693
Chile,161348291.3324188,242154.9368444995,666.3018868619188,2971613804.8112082,4093807.7540507927,725.8801544529829
China (mainland),157745227260.328,202306003.36525017,779.73576975632,77759127639.26492,106341819.28649531,731.2187073814695
Colombia,135281922.65988246,116486.21082534862,1161.3556806540375,4242388732.0539794,6319811.543365654,671.2840569601336
Congo,941158.3753335476,2589.1704001908306,363.4980437224916,63955340.059529215,71034.92259958477,900.3365910601142
"Congo, D.R.",494442.4754257202,622.4633554930496,794.3318607632336,278133148.5619334,230631.7661806847,1205.9620110788837
Costa Rica,232576900.4933559,237813.22348375537,977.9813632156702,2003072431.4858944,3089604.867456241,648.3264098218102
Croatia,766218787.5441556,1143684.6907265796,669.9563207909856,1095766152.4802778,1034216.4471216376,1059.5133693047921
Curacao,412.220397949219,0.379999997258186,1084.7905287460865,1951968.6710624695,1644.5053100222647,1186.964042722393
Cyprus,35045062.466142714,29414.83995170639,1191.4075522314615,84679545.27780391,92053.08559374245,919.8990422930508
