Export_country,Import_country,Year,Quarter,Month,Nominal Value (SUM),Tons (SUM),Price,Period
Thailand,India,2015,1,6,824133.322372436,1101.746664916484,2379.3320051441206,9
Thailand,India,2015,2,15,620302.4834558971,839.061309468607,2303.278391773304,10
Thailand,India,2015,3,24,507130.353096009,762.21050388325,2228.1083823342533,11
Thailand,India,2015,4,33,673306.173294365,952.497173314342,2221.175554233084,12
Thailand,India,2016,1,6,539348.366516114,706.356760567289,2740.094148896596,13
Thailand,India,2016,2,15,781694.490702271,759.720853394958,3104.904487627833,14
Thailand,India,2016,3,24,667999.253417969,993.613448453259,2024.42811343754,15
Thailand,India,2016,4,33,1106361.840816498,1251.344626988079,2644.8198971722836,16
Thailand,India,2017,1,6,662662.957327843,918.888678567934,2245.062844781319,17
Thailand,India,2017,2,15,887317.151922226,1264.723505579258,2138.265256875637,18
Thailand,India,2017,3,24,821750.431480408,1032.394965365708,2363.513991566922,19
Thailand,India,2017,4,33,1337618.50125122,1742.497010988668,2319.664849363811,20
Thailand,India,2018,1,6,2528914.518264771,2987.0958665532,2604.8945752898544,21
Thailand,India,2018,2,15,1821520.465637207,2162.017567690406,2473.0837421213487,22
Thailand,India,2018,3,24,2266923.569129944,2445.132310478722,2784.122857348957,23
Thailand,India,2018,4,33,1323313.5150756831,1414.96162172068,2802.405252553437,24
Thailand,India,2019,1,6,885542.120117188,1230.694714071591,2468.5515912355027,25
Thailand,India,2019,2,15,1097399.19309993,1565.593451567319,2156.8168122207944,26
Thailand,India,2019,3,24,1297486.713500977,1180.145,3099.8067058833985,27
Thailand,India,2019,4,33,1015672.661144256,1301.50681781145,2327.645038616402,28
Thailand,India,2020,1,6,1002828.169694066,1116.716852187612,2677.4089201165134,29
Thailand,India,2020,2,15,459270.10189962387,528.0101907770198,2522.946588389077,30
Thailand,India,2020,3,24,1518654.385900319,1763.224,2577.740992992385,31
Thailand,India,2020,4,33,2170233.897827149,2504.375,2620.8660878629225,32
Thailand,India,2021,1,6,1961554.3546142569,2255.37,2671.640848594198,33
Thailand,India,2021,2,15,1738479.587139606,1686.2691869965,3080.38984630373,34
Thailand,India,2021,3,24,2326994.231689453,2035.459202056541,3421.699061297826,35
Thailand,India,2021,4,33,2729532.776955785,2380.037642900955,3518.325045755833,36
Thailand,India,2022,1,6,2246058.878021241,1822.9984014245952,3801.367077091517,37
Thailand,India,2022,2,15,2636085.9641797543,2074.777996240296,3819.685142187547,38
Thailand,India,2022,3,24,2735119.1482099323,2106.5743354751203,3936.3102315509177,39
Thailand,India,2022,4,33,2778766.6768798837,2361.279,3553.400374291201,40
Thailand,India,2023,1,6,2544685.415283207,2285.41266994786,3319.6750925292654,41
Thailand,India,2023,2,15,3691846.9145507803,3189.7870000000003,3481.778360676474,42
Thailand,India,2023,3,24,2602589.10127258,2486.98162455616,3152.920410233718,43
Thailand,Indonesia,2013,1,6,4776836.0,5253.160636700459,3336.9809852236226,1
Thailand,Indonesia,2013,2,15,6190603.0,6383.10050237409,3332.892844855484,2
Thailand,Indonesia,2013,3,24,10927597.0,12062.08058105413,2716.33961559043,3
Thailand,Indonesia,2013,4,33,7448568.0,7698.284191072911,3291.740431440401,4
Thailand,Indonesia,2014,1,6,4667322.0,4945.1979333841955,3075.628923302269,5
Thailand,Indonesia,2014,2,15,4614123.0,4475.167936578146,3753.863560703598,6
Thailand,Indonesia,2014,3,24,1992806.0,1709.5919999999999,3616.922584250754,7
Thailand,Indonesia,2014,4,33,7363298.0,7538.417065943071,3117.4814110836464,8
Thailand,Indonesia,2015,1,6,2719854.0,3301.69624285265,3079.5717939840997,9
Thailand,Indonesia,2015,2,15,4548707.0,6215.068086397092,2476.2092152619425,10
Thailand,Indonesia,2015,3,24,2482306.0,3694.458006194434,2673.7618659243126,11
Thailand,Indonesia,2015,4,33,3457675.0,5879.186649977238,2185.5411621510193,12
Thailand,Indonesia,2016,1,6,4024341.0,6426.987304279448,3006.1623308857475,13
Thailand,Indonesia,2016,2,15,939248.0,1089.482483705539,2590.8318080484814,14
Thailand,Indonesia,2016,3,24,2492978.0,3459.688127022624,3405.5894446609414,15
Thailand,Indonesia,2016,4,33,5789592.0,8627.313,2363.4070700552256,16
Thailand,Indonesia,2017,1,6,4383186.0,3674.974492648739,3411.957955415793,17
Thailand,Indonesia,2017,2,9,9172459.0,15722.654387135477,1900.897803091305,18
Thailand,Indonesia,2017,3,24,16104895.0,23702.265540756674,3256.926080993893,19
Thailand,Indonesia,2017,4,21,11076484.0,18474.8771624844,1205.0425589629817,20
Thailand,Indonesia,2018,1,6,11670140.0,11091.57727908275,3996.991691360773,21
Thailand,Indonesia,2018,2,15,854996.0,945.065434330383,2969.9133069391805,22
Thailand,Indonesia,2018,3,24,8622646.0,11342.781514594455,2016.7289175060728,23
Thailand,Indonesia,2018,4,33,3273879.0,4991.41857995043,2792.1240066354103,24
Thailand,Indonesia,2019,1,6,2183364.0,2395.409,4203.510981106283,25
Thailand,Indonesia,2019,2,15,992125.416015625,632.077900956554,4669.269095427035,26
Thailand,Indonesia,2019,3,24,2665903.0,3134.477808808736,2846.318620271524,27
Thailand,Indonesia,2019,4,33,2943070.0,3345.7286794333004,3355.56988646699,28
Thailand,Indonesia,2020,1,4,3351775.0,4796.82397961306,1388.1883491462786,29
Thailand,Indonesia,2020,2,10,1651687.0,1889.118345814956,2406.202992640337,30
Thailand,Indonesia,2020,3,24,1359941.0,1931.209913063268,2642.3587568139214,31
Thailand,Indonesia,2020,4,33,7401534.0,5043.565674271938,3335.872211868099,32
Thailand,Indonesia,2021,1,6,10516729.0,15983.79664637463,2896.2488605135372,33
Thailand,Indonesia,2021,2,15,7149760.0,7106.925449537821,2978.0528684668716,34
Thailand,Indonesia,2021,3,17,14941866.0,8931.68508820135,3279.2041215605514,35
Thailand,Indonesia,2021,4,33,24149146.0,19485.99066840425,4505.846203802929,36
Thailand,Indonesia,2022,1,6,25409215.0,20289.11983246566,4001.434431317288,37
Thailand,Indonesia,2022,2,15,17544768.0,18159.666167227762,3552.8735730968306,38
