Import_country,Nominal Value (SUM),Tons (SUM),Price
Mauritania,87013046.07013577,118048.71060510814,737.0944216511467
Mauritius,93552150.76066305,162283.45890299178,576.4737293194233
Mayotte,4545578.617757797,5467.87388596081,831.3246999768818
Mexico,55197296936.53189,71488192.66756846,772.1176725394103
Micronesia,7370913.371864319,5775.470064678131,1276.2447539887132
Moldova,181753140.40561628,283167.1187926808,641.8582114355086
Monaco,376273.0,383.6978024193753,980.6493485952778
Mongolia,38559545.615727425,47970.85120104144,803.8119952078379
Montenegro,18950179.8520931,17710.739591175956,1069.9824112108042
Montserrat,99096.177734375,125.64384719638365,788.7069677155448
Morocco,5177370223.557888,9477232.624803187,546.295572613467
Mozambique,338486260.8678748,409720.51357029175,826.1394039520162
Myanmar,671411043.8808793,845547.6886918248,794.0546143762061
Namibia,206210776.3974788,205329.76411118376,1004.2907188351805
Nauru,43687.1209716797,42.318999526977535,1032.3287757270825
Nepal,5796461215.6582985,12019448.124267485,482.2568520392494
Netherlands,23450192436.101875,25548302.043229587,917.8767495555063
Netherlands Antilles,1083711.015472412,987.0587483390234,1097.9194676061893
New Caledonia,49466800.01398755,46151.147997096174,1071.8433269980628
New Zealand,739940171.4330535,546976.610964786,1352.782105486939
Nicaragua,229277531.39259064,236955.51365746686,967.5973681879578
Niger,9910132.757508755,13522.630182270419,732.8554152506496
Nigeria,3276612651.952045,4475046.57869715,732.1963233969259
Niue,31109.010444641117,18.177,1711.4491084690058
Norfolk Island,462670.0361557007,516.3705300925983,896.0039529613207
North Korea,44617515.42398453,50620.56380354453,881.4108747808996
Northern Mariana Islands,5312908.205337524,4105.911011803904,1293.9657459851605
Norway,1236075724.2467842,1084666.5275446326,1139.5905495902946
Oman,3588709308.314799,7249331.028953444,495.0400656255983
"Other Africa, nes.",2641.0,6.055,436.168455821635
"Other Europe, nes.",202737940.26359642,101111.2868386651,2005.0970233134165
Pakistan,6652085766.080472,12196715.021250295,545.3997862941428
Palau,2746757.637741089,2024.3078828890557,1356.887290198646
Panama,79306362.40180016,84034.52890628879,943.7354315419409
Papua New Guinea,93353457.65202236,91122.0848857646,1024.4877273062302
Paraguay,351599044.0047188,442780.82611850864,794.0701657903646
Peru,4926917561.158879,7233025.03354729,681.1697095347357
Philippines,14895305108.769869,25312547.318950456,588.4553980712313
Poland,27794851494.901863,31184991.572021104,891.2893701032505
Portugal,5967694467.133842,6965013.859967815,856.8101352150675
Qatar,1271883249.420593,2290530.4418029124,555.2789110366391
Romania,7056037574.0811,7844232.392036165,899.5191908445653
Russia,7505180857.672239,8804172.188609716,852.4573005718778
Rwanda,17551056.013040543,22865.095326406667,767.5916396801988
Réunion,14957096.656269073,18697.230460169954,799.9632185168624
Saint Barthelemy,536132.1680145265,640.0020058318041,837.7038870647302
Saint Helena,67250.48885726927,50.18580979831761,1340.0299632013457
Saint Kitts and Nevis,2085493.0055541992,1571.1040000000003,1327.406082318038
Saint Lucia,2335587.8047561646,2212.054989232357,1055.8452733431716
Saint Maarten,366740.0910644531,345.59900007128715,1061.1723152810198
Saint Pierre and Miquelon,103857.25988006595,91.53632554077606,1134.6015832130095
Saint Vincent and the Grenadines,176006.26404225826,189.6256301434421,928.1776092668408
San Marino,130460375.902637,138874.9544616896,939.4089554040223
Sao Tome and Principe,6516373.496803284,7390.776884823705,881.6899222305128
Saudi Arabia,12915979563.323988,21294094.2910206,606.5521917394
Senegal,327284815.8019667,484650.96316114446,675.300042049325
Serbia,1021104874.17269,1020102.6835806106,1000.9824408936577
Seychelles,9292720.530496895,7998.754330174825,1161.770964191344
Sierra Leone,106909477.57906461,108390.76223535198,986.3338477768888
Singapore,3767867920.344005,3906791.350103083,964.4405300130983
Slovakia,6649030435.855891,6467076.028096452,1028.1354984801371
Slovenia,5102003396.235862,5346426.415941963,954.2829170944387
Solomon Islands,6250699.52179718,5479.085184402865,1140.8290456207626
Somalia,261167636.34203303,304451.68328376266,857.8295036017687
South Africa,3491987766.0907483,3966841.6543924217,880.2942164893637
South Korea,45189048533.220924,62036767.390945196,728.4236499372573
South Sudan,3161785.628955364,2886.9104290013756,1095.2143153430195
Spain,30411831383.82331,41310141.89855985,736.1831740617556
Sri Lanka,2471156421.914861,4986915.327580126,495.5280488217105
Sudan,1137023532.108971,2047998.9339877767,555.1875605203597
Suriname,17760010.06150055,17595.204997345136,1009.3664759336581
Swaziland,112707233.14594434,84642.57381501283,1331.5667053351556
Sweden,8710318987.062227,7368504.891323383,1182.1012695966135
Switzerland,8121823952.446531,6908455.821618834,1175.6352160537335
Syria,382006696.52521336,681267.3550758741,560.7294899410944
Taiwan,52669875859.60428,75539050.02115303,697.2536171007612
Tajikistan,151131369.46141052,185276.77204827918,815.7059721551545
Tanzania,1443849696.1503572,2283247.838829948,632.3666102275866
Thailand,51673205992.135864,76941728.41439225,671.588838163794
Togo,323170098.15264,435881.75120370445,741.4169032316521
Tokelau,153468.16625976562,249.68100130558025,614.6569641153377
Tonga,1176461.2458834648,1008.953186862971,1166.0216362875153
Trinidad and Tobago,129674155.8287201,150179.55181626749,863.4607991597013
Tunisia,2579968596.3469825,4986708.766112217,517.369013783093
Turkey,62333646862.544495,103159083.94323267,604.2477742129431
Turkmenistan,183603620.85345292,285802.9071659578,642.4134123549675
Turks & Caicos Islands,473233.0174484253,567.2564227174618,834.2488484861677
Tuvalu,710142.6665649414,1914.479,370.9325965784641
US Miscellaneous Pacific Islands,339404.28043508524,398.7356419095143,851.2012590840995
Uganda,168173021.08806914,254214.23259137315,661.5405415100907
Ukraine,2669614115.0918794,2993415.9970440585,891.8286391627735
