Export_country,Import_country,Nominal Value (SUM),Tons (SUM),Price
Australia,United States,2735145430.0,2787415.7468180116,981.2477500431427
Australia,Vanuatu,10095.083984375,7.19999980926514,1402.0950349726945
Australia,Vietnam,3434536.8095703134,4097.543232777743,838.1941603681447
Australia,Western Samoa,33052.0,21.1700000762939,1561.2659367446827
Austria,Afghanistan,83.3062973022461,0.0399469421902999,2085.423632812499
Austria,Albania,20424.188159942627,11.144697125480208,1832.6373458141493
Austria,Algeria,187255.13703012466,266.28579475448066,703.2111390049049
Austria,Armenia,35571.85786437988,30.514575626530977,1165.7333301876838
Austria,Australia,521.916625976563,0.241973541743696,2156.91609179895
Austria,Azerbaijan,48.0491981506348,0.0430179114995386,1116.957947880621
Austria,Bahamas,171.350006103516,0.100000001490116,1713.5000355020218
Austria,Bahrain,17434.972915649418,23.31101817293081,747.928416781693
Austria,Bangladesh,691273.6659775976,649.6977511021026,1063.9927024604417
Austria,Barbados,380.860809326172,0.581438301070139,655.0321996765546
Austria,Belarus,6986032.459768296,5183.409107317889,1347.7679101009953
Austria,Belgium,340774952.50131583,394924.38785112597,862.8865752139299
Austria,Bolivia,24.8490009307861,0.0119155650390677,2085.4236328124935
Austria,Bosnia and Herzegovina,19866753.083082322,13574.440177589477,1463.541245397438
Austria,Brazil,67493097.95456874,55781.338340893424,1209.9583832517944
Austria,Bulgaria,5696648.321495177,3124.922414672913,1822.9727223776363
Austria,Cameroon,257.80060958862333,0.4493194143674327,573.7580023145981
Austria,Canada,2699922.426560402,1308.9092640169706,2062.7269596018355
Austria,Chile,1026326.3420104973,899.5540152461664,1140.927976103402
Austria,China (mainland),66058764.44509399,39008.215115748186,1693.4577562464553
Austria,Colombia,83173.4666824341,48.96772700954941,1698.5363986001246
Austria,Congo,403.12109375,0.5,806.2421875
Austria,Costa Rica,1232.6240100860591,1.23299968897779,999.6953130685358
Austria,Croatia,49725590.901449315,38695.036465180405,1285.0638077623914
Austria,Cyprus,938.0003829002379,1.2244197416040161,766.0774741114818
Austria,Czech Republic,1151844281.3983498,1034932.720190542,1112.9653734266735
Austria,Côte d'Ivoire,2166.0063133239773,1.7133656630520042,1264.1821649826272
Austria,Denmark,117622433.93302873,115308.32718267236,1020.068860652972
