Nominal Value (SUM),Tons (SUM),Nominal Value (SUM)_export,Tons (SUM)_export,Nominal Value (SUM)_import,Tons (SUM)_import,Nominal Value (SUM)_product,Tons (SUM)_product,Average Cost,log(Nominal Value (SUM)),log(Tons (SUM)),log(Nominal Value (SUM)_export),log(Tons (SUM)_export),log(Nominal Value (SUM)_import),log(Tons (SUM)_import),log(Nominal Value (SUM)_product),log(Tons (SUM)_product),log(Average Cost)
139228439.0,69573.24417237255,20371381847.321857,19974645.43039817,120595761242.0,180354448.0683238,2.4567023014292394e+21,3602516151959928.0,102.85739546661412,18.751626588158466,11.150135349602381,23.737396902258936,16.80997429879064,25.51570997337472,19.0104346285435,49.253106875633655,35.82040892733414,4.633343518877187
241437351.77418783,179686.05317506925,56017531908.54749,56142681.19026796,15364702118.217093,15875548.654514426,8.606926911725533e+20,891295866830990.9,73.23594456976075,19.302120584460223,12.098966458046123,24.748930548480928,17.843406886757727,23.455338645306572,16.580290663060108,48.204269193787496,34.42369754981784,4.293686346478598
38734893.0,20887.313600929803,56017531908.54749,56142681.19026796,8298699654.963992,9379886.163980313,4.648726727213975e+20,526611958505352.2,103.47496696537392,17.472251379684703,9.946897248910739,24.748930548480928,17.843406886757727,22.83936467139861,16.05407818487255,47.58829521987954,33.89748507163028,4.6393297183825
68996893.67982031,66499.80254667635,56017531908.54749,56142681.19026796,21831402497.170246,21647464.564676967,1.2229412859935777e+21,1215346701632281.8,108.90354418661896,18.049572042415104,11.104954257416626,24.748930548480928,17.843406886757727,23.80661525176477,16.890398895378258,48.555545800245696,34.73380578213599,4.690462574740998
430689154.9016047,302285.8197620884,56017531908.54749,56142681.19026796,77759127639.26492,106341819.28649531,4.35587441371334e+21,5970314857394795.0,97.83521108359544,19.880897169539224,12.619128271834358,24.748930548480928,17.843406886757727,25.076881778404815,18.482169174098892,49.82581232688574,36.32557606085662,4.583284543774578
21246976160.92418,19663592.8849659,56017531908.54749,56142681.19026796,51544634493.05953,55433892.192151785,2.88740320742938e+21,3112207336479662.0,32.21906871710461,23.77948042388202,16.794279407001923,24.748930548480928,17.843406886757727,24.665713958443515,17.830701737082563,49.414644506924446,35.67410862384029,3.472558473454772
13506356070.39789,14244545.05537852,56017531908.54749,56142681.19026796,82866679359.00713,85265665.52379914,4.641986855148556e+21,4787043075978677.0,37.06800781105398,23.326426231619294,16.47188458825978,24.748930548480928,17.843406886757727,25.140498880520713,18.261282417056094,49.889429429001645,36.10468930381382,3.6127542744467163
417097268.8204755,499544.8887406943,56017531908.54749,56142681.19026796,31245526612.397964,36080361.29465354,1.750297284009373e+21,2025648221395416.8,101.6814847749797,19.848830011124818,13.121452740381654,24.748930548480928,17.843406886757727,24.165142054478846,17.40125926681847,48.91407260295978,35.2446661535762,4.621845229203574
2439748.9452590947,2740.692914842881,56017531908.54749,56142681.19026796,38517934065.54635,59878521.730703816,2.157679600568071e+21,3361740755671436.5,139.8111445106206,14.707405700688456,7.915966056039966,24.748930548480928,17.843406886757727,24.374389789664068,17.907828430014973,49.123320338145,35.7512353167727,4.940292544151911
15088395.83499908,12407.337329841272,56017531908.54749,56142681.19026796,7489451633.987148,10946534.846878693,4.195405958843982e+20,614567816046469.1,177.76760855132903,16.52943651859867,9.42604329674428,24.748930548480928,17.843406886757727,22.736761418709502,16.20853351180533,47.485691967190434,34.05194039856306,5.180477127356788
3326475638.471792,2948694.772245192,56017531908.54749,56142681.19026796,85028215439.92317,115714020.75218745,4.763070771532747e+21,6496495376334109.0,55.398770172052735,21.92517921364782,14.896873180319707,24.748930548480928,17.843406886757727,25.166248984706765,18.56663236677691,49.91517953318769,36.41003925353464,4.014557394446415
153143.607421875,111.335,56017531908.54749,56142681.19026796,29543652475.693275,33028302.14139705,1.6549624952521865e+21,1854297437380299.2,108.6937215396463,11.939131370755575,4.712543674256421,24.748930548480928,17.843406886757727,24.10913475148724,17.31287539251555,48.85806529996817,35.15628227927328,4.688534032934145
6754331.807807922,4906.76970108839,56017531908.54749,56142681.19026796,16986894723.92083,19522853.46143032,9.51563917224372e+20,1096065337809401.6,96.12531273514138,15.725694606320562,8.498371102257407,24.748930548480928,17.843406886757727,23.555707985114616,16.787096309691492,48.30463853359554,34.63050319644922,4.565652681242012
428691002.6433166,395567.71616928815,56017531908.54749,56142681.19026796,55197296936.53189,71488192.66756846,3.092016342407746e+21,4013538809803748.0,137.82320069248306,19.876246943811964,12.888077268144038,24.748930548480928,17.843406886757727,24.734179820489373,18.08504285651101,49.4831103689703,35.928449743268736,4.925971709374989
165993750.44946814,115611.5940233906,56017531908.54749,56142681.19026796,7505180857.672238,8804172.188609717,4.204217081740745e+20,494289832329339.1,87.04422636083176,18.927460697717347,11.657991524511264,24.748930548480928,17.843406886757727,22.738859400032247,15.990736279434703,47.487789948513175,33.83414316619243,4.466416338464094
90666501.06731524,74561.85399805136,56017531908.54749,56142681.19026796,3491987766.0907483,3966841.6543924217,1.95612536111246e+20,222709126334828.84,93.7845964104315,18.322698509127058,11.219384314904016,24.748930548480928,17.843406886757727,21.97373697150719,15.19348078299334,46.72266751998812,33.03688766975107,4.541000625154231
52646530.0,27083.902845374985,56017531908.54749,56142681.19026796,45189048533.220924,62036767.3909452,2.5313789681266044e+21,3482910453704647.5,111.82688505088213,17.779110887439728,10.20669483943971,24.748930548480928,17.843406886757727,24.534120605339822,17.94323778967565,49.28305115382075,35.786644676433376,4.716952006327578
948723036.0313828,994899.1900013448,56017531908.54749,56142681.19026796,30411831383.82331,41310141.89855985,1.7035957349406883e+21,2319262126535576.5,58.81824699528199,20.670627465749963,13.810396694426295,24.748930548480928,17.843406886757727,24.13809755990105,17.536618594335817,48.887028108381976,35.38002548109355,4.0744521298133565
457512509.10210943,508195.7088835712,56017531908.54749,56142681.19026796,8710318987.062227,7368504.891323383,4.8793057179138536e+20,413687620962498.8,56.29784763113799,19.941314784605748,13.138621906077281,24.748930548480928,17.843406886757727,22.887774250224282,15.812725379450582,47.63670479870521,33.65613226620831,4.030656304062058
3584325.50698948,2656.049575521692,56017531908.54749,56142681.19026796,2669614115.0918794,2993415.9970440585,1.4954519387566814e+20,168058399991892.66,113.0729772113711,15.092080871215556,7.884595175904692,24.748930548480928,17.843406886757727,21.705199772730836,14.911925767167954,46.454130321211764,32.755332653925684,4.728033426292743
1544053159.6237936,1625588.5208575856,56017531908.54749,56142681.19026796,14216521519.3457,15103076.82513566,7.963744478384998e+20,847927227185715.8,48.39470378764777,21.15767671776446,14.301380474861043,24.748930548480928,17.843406886757727,23.377670612504716,16.53040904428226,48.12660116098564,34.373815931039985,3.8793903818600923
957025793.0,726549.7493903363,56017531908.54749,56142681.19026796,120595761242.0,180354448.0683238,6.75547690340931e+21,1.0125582279146642e+16,74.01011263678184,20.679340900987157,13.49606223781772,24.748930548480928,17.843406886757727,25.51570997337472,19.0104346285435,50.26464052185565,36.85384151530123,4.3042017411212266
75895400.8504219,88189.29654035108,56862580489.19227,110558267.52708869,15364702118.217093,15875548.654514426,8.736766108895824e+20,1755173155285118.8,156.13002148801263,18.144866645673815,11.387240880213051,24.763903325347222,18.52105324788156,23.455338645306572,16.580290663060108,48.21924197065379,35.101343910941665,5.050689131182399
868604393.0,1400374.0761736403,56862580489.19227,110558267.52708869,32479866310.468662,47476506.68932843,1.846889012357229e+21,5248920327810388.0,103.47496696537392,20.5823983356161,14.15224995616154,24.763903325347222,18.52105324788156,24.20388623617442,17.675745550637778,48.96778956152164,36.19679879851934,4.6393297183825
2099111611.0,3685614.483490407,56862580489.19227,110558267.52708869,21831402497.170246,21647464.564676967,1.2413898816872962e+21,2393306178624728.5,119.22568385983084,21.464780049787162,15.119947822347156,24.763903325347222,18.52105324788156,23.80661525176477,16.890398895378258,48.57051857711199,35.411452143259815,4.781018200043961
1831422360.0,5271627.881492642,56862580489.19227,110558267.52708869,77759127639.26492,106341819.28649531,4.421584654157077e+21,1.1756967305993668e+16,100.82728453190876,21.328358747802206,15.477849768737931,24.763903325347222,18.52105324788156,25.076881778404815,18.482169174098892,49.84078510375203,37.00322242198045,4.613408998890126
432073437.8287332,749333.3834004818,56862580489.19227,110558267.52708869,51544634493.05953,55433892.192151785,2.930960927647594e+21,6128675083047710.0,107.5871836214716,19.884106126734796,13.526939268143197,24.763903325347222,18.52105324788156,24.665713958443515,17.830701737082563,49.42961728379073,36.351754984964124,4.6783015293087535
2745772058.876344,5446601.376936596,56862580489.19227,110558267.52708869,82866679359.00713,85265665.52379914,4.71201322492363e+21,9426824259855448.0,101.47388827310829,21.73332813242595,15.510502371557632,24.763903325347222,18.52105324788156,25.140498880520713,18.261282417056094,49.90440220586794,36.782335664937655,4.619801506992204
174906882.0,383112.27291692887,56862580489.19227,110558267.52708869,31245526612.397964,36080361.29465354,1.7767012719246783e+21,3988982236488322.5,123.33617021269178,18.97976428741368,12.856083365980693,24.763903325347222,18.52105324788156,24.165142054478846,17.40125926681847,48.929045379826064,35.92231251470003,4.8149137184301525
707969321.0,1998211.31130946,56862580489.19227,110558267.52708869,38517934065.54635,59878521.730703816,2.19022912607953e+21,6620065624629746.0,140.8424252930137,20.377911318798237,14.507762994014438,24.763903325347222,18.52105324788156,24.374389789664068,17.907828430014973,49.13829311501129,36.428881677896534,4.947641714338911
70000.0,250.0,56862580489.19227,110558267.52708869,7489451633.987148,10946534.846878693,4.258695463575068e+20,1210229928095813.2,199.37522161835724,11.156250521031495,5.521460917862246,24.763903325347222,18.52105324788156,22.736761418709502,16.20853351180533,47.50066474405672,34.72958675968689,5.2951885851039195
1256924026.4085696,2200162.3473093365,56862580489.19227,110558267.52708869,85028215439.92317,115714020.75218745,4.834923744305012e+21,1.279314166295543e+16,106.91407459291644,20.95193332432106,14.6040417098374,24.763903325347222,18.52105324788156,25.166248984706765,18.56663236677691,49.930152310053984,37.08768561465847,4.67202547066391
1046933036.0,621053.3120333183,56862580489.19227,110558267.52708869,29543652475.693275,33028302.14139705,1.6799283168438334e+21,3651551864114092.0,134.3431610077741,20.769130808814246,13.339172205915721,24.763903325347222,18.52105324788156,24.10913475148724,17.31287539251555,48.87303807683446,35.83392864039711,4.900397429469399
29652420.0,46910.269,56862580489.19227,110558267.52708869,16986894723.92083,19522853.46143032,9.659186685003836e+20,2158412855880962.5,113.25791367269494,17.205054298964384,10.755991885691055,24.763903325347222,18.52105324788156,23.555707985114616,16.787096309691492,48.31961131046184,35.30814955757305,4.7296676398263875
3499036547.0,6339305.57072614,56862580489.19227,110558267.52708869,55197296936.53189,71488192.66756846,3.1386607398393904e+21,7903610729969094.0,100.51281965450217,21.975753495261696,15.662279788983195,24.763903325347222,18.52105324788156,24.734179820489373,18.08504285651101,49.498083145836596,36.60609610439257,4.61028527811547
28502277.0,17563.49843463772,56862580489.19227,110558267.52708869,7505180857.672238,8804172.188609717,4.267639506053327e+20,973374024182867.0,123.33986092678651,17.165494536784305,9.773578074831011,24.763903325347222,18.52105324788156,22.738859400032247,15.990736279434703,47.50276272537947,34.51178952731626,4.81494364200301
