Export_country,Import_country,Nominal Value (SUM),Tons (SUM),Nominal Value (SUM)_export,Tons (SUM)_export,Nominal Value (SUM)_import,Tons (SUM)_import,Nominal Value (SUM)_product,Tons (SUM)_product,Average Cost
Austria,Mexico,106882291.44406465,97577.82813963252,20371381847.321857,19974645.43039817,55197296936.53189,71488192.66756846,1.1244452128341002e+21,1427951300994670.2,161.39771439925178
Austria,Russia,10608979.444055555,7339.176403129939,20371381847.321857,19974645.43039817,7505180857.672238,8804172.188609717,1.528909050848517e+20,175860217775651.75,124.61274013117871
Austria,South Africa,22280961.616923336,16972.87884212882,20371381847.321857,19974645.43039817,3491987766.0907483,3966841.6543924217,7.113661618921108e+19,79236255525022.7,147.11070923368035
Austria,South Korea,3570.56875610352,1.68848407500231,20371381847.321857,19974645.43039817,45189048533.220924,62036767.3909452,9.205633629874032e+20,1239162432282217.8,121.97422601234575
Austria,Spain,239731134.2010812,235425.28580524327,20371381847.321857,19974645.43039817,30411831383.82331,41310141.89855985,6.195310297962313e+20,825155437103168.5,79.6238393469864
Austria,Sweden,277605950.8394268,152795.05593479596,20371381847.321857,19974645.43039817,8710318987.062227,7368504.891323383,1.7744123409742237e+20,147183272556339.2,80.3616522951149
Austria,Ukraine,3408259.313178539,3545.3982512304983,20371381847.321857,19974645.43039817,2669614115.0918794,2993415.9970440585,5.438372852353692e+19,59792423166636.88,99.76237723750538
Austria,United Kingdom,211393863.2798589,183244.27860124828,20371381847.321857,19974645.43039817,14216521519.3457,15103076.82513566,2.8961018841125952e+20,301678604490148.5,80.10878346253536
Austria,United States,139228439.0,69573.24417237255,20371381847.321857,19974645.43039817,120595761242.0,180354448.0683238,2.4567023014292394e+21,3602516151959928.0,102.85739546661411
Belgium,Austria,241437351.77418783,179686.05317506925,56017531908.54749,56142681.19026796,15364702118.217093,15875548.654514426,8.606926911725533e+20,891295866830990.9,73.23594456976075
Belgium,Brazil,38734893.0,20887.313600929803,56017531908.54749,56142681.19026796,8298699654.963992,9379886.163980313,4.648726727213975e+20,526611958505352.2,103.47496696537392
Belgium,Canada,68996893.67982031,66499.80254667635,56017531908.54749,56142681.19026796,21831402497.170246,21647464.564676967,1.2229412859935777e+21,1215346701632281.8,108.90354418661897
Belgium,China (mainland),430689154.9016047,302285.8197620884,56017531908.54749,56142681.19026796,77759127639.26492,106341819.28649531,4.35587441371334e+21,5970314857394795.0,97.83521108359545
Belgium,France,21246976160.92418,19663592.8849659,56017531908.54749,56142681.19026796,51544634493.05953,55433892.192151785,2.88740320742938e+21,3112207336479662.0,32.21906871710461
Belgium,Germany,13506356070.39789,14244545.05537852,56017531908.54749,56142681.19026796,82866679359.00713,85265665.52379914,4.641986855148556e+21,4787043075978677.0,37.06800781105398
Belgium,India,417097268.8204755,499544.8887406943,56017531908.54749,56142681.19026796,31245526612.397964,36080361.29465354,1.750297284009373e+21,2025648221395417.2,101.6814847749797
Belgium,Indonesia,2439748.9452590947,2740.692914842881,56017531908.54749,56142681.19026796,38517934065.54635,59878521.730703816,2.157679600568071e+21,3361740755671436.5,139.8111445106206
Belgium,Iran,15088395.83499908,12407.337329841272,56017531908.54749,56142681.19026796,7489451633.987148,10946534.846878693,4.195405958843982e+20,614567816046469.1,177.76760855132903
Belgium,Italy,3326475638.471792,2948694.772245192,56017531908.54749,56142681.19026796,85028215439.92317,115714020.75218745,4.763070771532747e+21,6496495376334109.0,55.398770172052735
Belgium,Japan,153143.607421875,111.335,56017531908.54749,56142681.19026796,29543652475.693275,33028302.14139705,1.6549624952521865e+21,1854297437380299.2,108.6937215396463
Belgium,Malaysia,6754331.807807922,4906.76970108839,56017531908.54749,56142681.19026796,16986894723.92083,19522853.46143032,9.51563917224372e+20,1096065337809401.6,96.12531273514138
Belgium,Mexico,428691002.6433166,395567.71616928815,56017531908.54749,56142681.19026796,55197296936.53189,71488192.66756846,3.092016342407746e+21,4013538809803748.0,137.82320069248306
Belgium,Russia,165993750.44946814,115611.5940233906,56017531908.54749,56142681.19026796,7505180857.672238,8804172.188609717,4.204217081740745e+20,494289832329339.1,87.04422636083176
Belgium,South Africa,90666501.06731524,74561.85399805136,56017531908.54749,56142681.19026796,3491987766.0907483,3966841.6543924217,1.95612536111246e+20,222709126334828.84,93.7845964104315
Belgium,South Korea,52646530.0,27083.902845374985,56017531908.54749,56142681.19026796,45189048533.220924,62036767.3909452,2.5313789681266044e+21,3482910453704647.5,111.82688505088213
Belgium,Spain,948723036.0313828,994899.1900013448,56017531908.54749,56142681.19026796,30411831383.82331,41310141.89855985,1.7035957349406883e+21,2319262126535576.5,58.81824699528199
Belgium,Sweden,457512509.10210943,508195.7088835712,56017531908.54749,56142681.19026796,8710318987.062227,7368504.891323383,4.8793057179138536e+20,413687620962498.8,56.29784763113799
Belgium,Ukraine,3584325.50698948,2656.049575521692,56017531908.54749,56142681.19026796,2669614115.0918794,2993415.9970440585,1.4954519387566814e+20,168058399991892.66,113.0729772113711
Belgium,United Kingdom,1544053159.6237936,1625588.5208575856,56017531908.54749,56142681.19026796,14216521519.3457,15103076.82513566,7.963744478384998e+20,847927227185715.8,48.39470378764777
Belgium,United States,957025793.0,726549.7493903363,56017531908.54749,56142681.19026796,120595761242.0,180354448.0683238,6.75547690340931e+21,1.0125582279146642e+16,74.01011263678184
Brazil,Austria,75895400.8504219,88189.29654035108,56862580489.19227,110558267.52708869,15364702118.217093,15875548.654514426,8.736766108895824e+20,1755173155285118.8,156.13002148801263
Brazil,Belgium,868604393.0,1400374.0761736403,56862580489.19227,110558267.52708869,32479866310.468662,47476506.68932843,1.846889012357229e+21,5248920327810388.0,103.47496696537392
Brazil,Canada,2099111611.0,3685614.483490407,56862580489.19227,110558267.52708869,21831402497.170246,21647464.564676967,1.2413898816872962e+21,2393306178624728.5,119.22568385983084
Brazil,China (mainland),1831422360.0,5271627.881492642,56862580489.19227,110558267.52708869,77759127639.26492,106341819.28649531,4.421584654157077e+21,1.1756967305993668e+16,100.82728453190875
Brazil,France,432073437.8287332,749333.3834004818,56862580489.19227,110558267.52708869,51544634493.05953,55433892.192151785,2.930960927647594e+21,6128675083047710.0,107.5871836214716
Brazil,Germany,2745772058.8763437,5446601.376936596,56862580489.19227,110558267.52708869,82866679359.00713,85265665.52379914,4.71201322492363e+21,9426824259855448.0,101.47388827310829
Brazil,India,174906882.0,383112.27291692887,56862580489.19227,110558267.52708869,31245526612.397964,36080361.29465354,1.7767012719246783e+21,3988982236488322.5,123.33617021269178
Brazil,Indonesia,707969321.0,1998211.31130946,56862580489.19227,110558267.52708869,38517934065.54635,59878521.730703816,2.19022912607953e+21,6620065624629746.0,140.8424252930137
Brazil,Iran,70000.0,250.0,56862580489.19227,110558267.52708869,7489451633.987148,10946534.846878693,4.258695463575068e+20,1210229928095813.2,199.37522161835724
Brazil,Italy,1256924026.4085696,2200162.3473093365,56862580489.19227,110558267.52708869,85028215439.92317,115714020.75218745,4.834923744305012e+21,1.279314166295543e+16,106.91407459291645
Brazil,Japan,1046933036.0,621053.3120333183,56862580489.19227,110558267.52708869,29543652475.693275,33028302.14139705,1.6799283168438334e+21,3651551864114092.0,134.3431610077741
Brazil,Malaysia,29652420.0,46910.269,56862580489.19227,110558267.52708869,16986894723.92083,19522853.46143032,9.659186685003836e+20,2158412855880962.5,113.25791367269494
Brazil,Mexico,3499036547.0,6339305.57072614,56862580489.19227,110558267.52708869,55197296936.53189,71488192.66756846,3.1386607398393904e+21,7903610729969094.0,100.51281965450217
Brazil,Russia,28502277.0,17563.49843463772,56862580489.19227,110558267.52708869,7505180857.672238,8804172.188609717,4.267639506053327e+20,973374024182867.0,123.33986092678653
Brazil,South Africa,43363492.0,71081.59480673302,56862580489.19227,110558267.52708869,3491987766.0907483,3966841.6543924217,1.9856343541660988e+20,438567140863916.5,132.4749915639502
Brazil,South Korea,1072548779.0,2212161.8598820646,56862580489.19227,110558267.52708869,45189048533.220924,62036767.3909452,2.5695659094502906e+21,6858677525723891.0,114.37601388806537
Brazil,Spain,693116724.4125799,1332898.8327602672,56862580489.19227,110558267.52708869,30411831383.82331,41310141.89855985,1.7292952098863964e+21,4567177719602976.0,114.84910359658689
Brazil,Sweden,30393047.000992645,37827.576414827,56862580489.19227,110558267.52708869,8710318987.062227,7368504.891323383,4.952912144883656e+20,814649135049592.1,142.76701304902386
Brazil,Ukraine,475.0,0.315865217829242,56862580489.19227,110558267.52708869,2669614115.0918794,2993415.9970440585,1.5180114749449578e+20,330946886621063.94,179.1691597425168
Brazil,United Kingdom,128767788.93762209,190321.47675374616,56862580489.19227,110558267.52708869,14216521519.3457,15103076.82513566,8.083880991701288e+20,1669770008115521.5,113.30894189054389
Brazil,United States,27262094498.0,52635052.50179645,56862580489.19227,110558267.52708869,120595761242.0,180354448.0683238,6.857386180278638e+21,1.9939675319238164e+16,87.11424624192192
Canada,Austria,4871649.407892345,7255.884664534198,20347047543.564545,25653414.203509472,15364702118.217093,15875548.654514426,3.1262632449207e+20,407262025342226.06,126.93985577943783
Canada,Belgium,206312519.61042783,328771.1415713478,20347047543.564545,25653414.203509472,32479866310.468662,47476506.68932843,6.608693840277262e+20,1217934491037030.5,108.90354418661897
Canada,Brazil,42109804.0,27059.77563646308,20347047543.564545,25653414.203509472,8298699654.963992,9379886.163980313,1.68854036429315e+20,240626104946354.53,119.22568385983084
Canada,China (mainland),324314787.0,309205.6574763871,20347047543.564545,25653414.203509472,77759127639.26492,106341819.28649531,1.5821686670222271e+21,2728030737311216.5,90.68656211301666
Canada,France,25405274.85982562,42990.879087815614,20347047543.564545,25653414.203509472,51544634493.05953,55433892.192151785,1.0487811286459392e+21,1422068597317959.5,101.04739977167478
Canada,Germany,426279188.963379,699789.6350417944,20347047543.564545,25653414.203509472,82866679359.00713,85265665.52379914,1.6860922646950366e+21,2187355435019916.8,100.01658328381515
Canada,India,71661834.93873218,72908.22599152048,20347047543.564545,25653414.203509472,31245526612.397964,36080361.29465354,6.357542155061726e+20,925584452904018.6,127.80658895465564
Canada,Indonesia,5210322.0,11342.139,20347047543.564545,25653414.203509472,38517934065.54635,59878521.730703816,7.837262357115559e+20,1536088519851587.8,143.06851366391078
Canada,Italy,26749103.41748048,19356.03494159093,20347047543.564545,25653414.203509472,85028215439.92317,115714020.75218745,1.7300731421005657e+21,2968459703509355.0,111.5273495432513
Canada,Japan,12605328.20288086,14771.193116998802,20347047543.564545,25653414.203509472,29543652475.693275,33028302.14139705,6.011261015334794e+20,847288715271917.5,104.65038413158088
Canada,Malaysia,521756.7531738281,736.3857943711475,20347047543.564545,25653414.203509472,16986894723.92083,19522853.46143032,3.456331545651429e+20,500827846280490.6,111.7633626864957
Canada,Mexico,601404725.7464172,818000.3359861223,20347047543.564545,25653414.203509472,55197296936.53189,71488192.66756846,1.123102025043864e+21,1833916217161422.5,77.23163824138724
Canada,Russia,2019647.656463623,1201.8891600494385,20347047543.564545,25653414.203509472,7505180857.672238,8804172.188609717,1.5270827173410757e+20,225857075873423.6,157.57755109576055
Canada,South Africa,1233893.8465948105,1026.0420729767225,20347047543.564545,25653414.203509472,3491987766.0907483,3966841.6543924217,7.10516410981942e+19,101763032039863.56,152.01288005876137
Canada,South Korea,240105470.0,150636.7413559685,20347047543.564545,25653414.203509472,45189048533.220924,62036767.3909452,9.194637189538918e+20,1591454889726686.8,107.09599311080274
Canada,Spain,119068031.07813266,101629.10140298631,20347047543.564545,25653414.203509472,30411831383.82331,41310141.89855985,6.187909790535212e+20,1059746180929507.2,126.66310667637013
Canada,Sweden,2602198.31034112,5954.941476938143,20347047543.564545,25653414.203509472,8710318987.062227,7368504.891323383,1.772292745493681e+20,189027308037704.28,124.404329323192
Canada,Ukraine,466854.4011230466,519.6519999999999,20347047543.564545,25653414.203509472,2669614115.0918794,2993415.9970440585,5.431876532274546e+19,76791340455582.52,174.29230004604213
Canada,United Kingdom,37932614.29882813,39809.69975748998,20347047543.564545,25653414.203509472,14216521519.3457,15103076.82513566,2.892642392582354e+20,387445485542629.9,71.32163865653314
Canada,United States,17476482403.0,21897925.3865432,20347047543.564545,25653414.203509472,120595761242.0,180354448.0683238,2.4537676875433325e+21,4626707359742049.0,29.786348476751243
China (mainland),Austria,75376283.05178308,44549.52740899107,157745227260.328,202306003.3652501,15364702118.217093,15875548.654514426,2.4237084274253984e+21,3211718799525388.0,123.08658977373334
China (mainland),Belgium,1988554868.8351784,2218343.747730607,157745227260.328,202306003.3652501,32479866310.468662,47476506.68932843,5.123543892529951e+21,9604782322061598.0,97.83521108359545
China (mainland),Brazil,2972876929.0,3648739.434327551,157745227260.328,202306003.3652501,8298699654.963992,9379886.163980313,1.3090802630375005e+21,1897607281855864.0,100.82728453190875
China (mainland),Canada,482031673.0,598572.8632225809,157745227260.328,202306003.3652501,21831402497.170246,21647464.564676967,3.443799548327813e+21,4379412039070672.0,90.68656211301666
China (mainland),France,374892178.3487237,274226.4154690568,157745227260.328,202306003.3652501,51544634493.05953,55433892.192151785,8.130920082158217e+21,1.1214609180374372e+16,86.69812632910659
China (mainland),Germany,1135903600.470093,903860.2674154128,157745227260.328,202306003.3652501,82866679359.00713,85265665.52379914,1.307182316779531e+22,1.7249756016398e+16,68.33669623583044
China (mainland),India,6294263058.3006525,7647647.152331671,157745227260.328,202306003.3652501,31245526612.397964,36080361.29465354,4.928832696341344e+21,7299273693495619.0,96.67571060131337
China (mainland),Indonesia,7767596898.550186,12504907.962720118,157745227260.328,202306003.3652501,38517934065.54635,59878521.730703816,6.076020262767938e+21,1.211378441875797e+16,93.41735420918627
China (mainland),Iran,1798533417.0,2727808.271391576,157745227260.328,202306003.3652501,7489451633.987148,10946534.846878693,1.1814252500585375e+21,2214549715570468.8,94.98646827176017
China (mainland),Italy,6403233400.65735,5456854.931404223,157745227260.328,202306003.3652501,85028215439.92317,115714020.75218745,1.341279516811081e+22,2.3409641071698656e+16,95.57016973935407
China (mainland),Japan,6092657134.678224,4330456.716278844,157745227260.328,202306003.3652501,29543652475.693275,33028302.14139705,4.660370173878388e+21,6681823804165970.0,67.88025608365977
China (mainland),Malaysia,3343824740.737521,3593380.222458571,157745227260.328,202306003.3652501,16986894723.92083,19522853.46143032,2.679601568672158e+21,3949590458067408.0,49.68652583719443
China (mainland),Mexico,3248858019.0,3171124.126422359,157745227260.328,202306003.3652501,55197296936.53189,71488192.66756846,8.70711014940903e+21,1.4462490546380756e+16,107.78178205624863
China (mainland),Russia,696420600.6090342,666057.7480543676,157745227260.328,202306003.3652501,7505180857.672238,8804172.188609717,1.1839064600233703e+21,1781136888417119.2,89.75623932586818
China (mainland),South Africa,1501587788.367897,2013218.321689426,157745227260.328,202306003.3652501,3491987766.0907483,3966841.6543924217,5.508444037522702e+20,802515881082927.8,107.74942395942503
China (mainland),South Korea,18841101227.0,23948448.269690048,157745227260.328,202306003.3652501,45189048533.220924,62036767.3909452,7.128356730550926e+21,1.25504104725618e+16,56.037957546026284
China (mainland),Spain,1212777505.4304838,1426443.9698808778,157745227260.328,202306003.3652501,30411831383.82331,41310141.89855985,4.797321253043984e+21,8357289705949011.0,102.36844087149414
China (mainland),Sweden,141341193.1307303,110328.3518158696,157745227260.328,202306003.3652501,8710318987.062227,7368504.891323383,1.374011248124081e+21,1490692775340930.5,102.41763064915177
China (mainland),Ukraine,234472785.67239663,188240.31210139804,157745227260.328,202306003.3652501,2669614115.0918794,2993415.9970440585,4.21118885282548e+20,605586026771588.9,112.2609428755019
China (mainland),United Kingdom,538121806.1374359,470285.8435492106,157745227260.328,202306003.3652501,14216521519.3457,15103076.82513566,2.242588417920531e+21,3055443111011526.0,82.39578828913855
China (mainland),United States,2859615190.0,3142092.013115461,157745227260.328,202306003.3652501,120595761242.0,180354448.0683238,1.902340576375154e+22,3.648678757784814e+16,71.75468629544517
France,Austria,364589324.0192087,251759.7438370376,43108679125.63054,51738983.78991773,15364702118.217093,15875548.654514426,6.623520134751165e+20,821384754491972.1,66.40963003269489
France,Belgium,3768162836.320196,5043199.304891307,43108679125.63054,51738983.78991773,32479866310.468662,47476506.68932843,1.400164134821371e+21,2456386210001084.5,32.21906871710461
France,Brazil,39462893.00243378,22200.704697948426,43108679125.63054,51738983.78991773,8298699654.963992,9379886.163980313,3.5774598058582363e+20,485305778189451.0,107.5871836214716
France,Canada,54399747.80322839,50085.193176388326,43108679125.63054,51738983.78991773,21831402497.170246,21647464.564676967,9.411229251130014e+20,1120017818204640.0,101.04739977167478
France,China (mainland),93248869.15996288,49439.26060825671,43108679125.63054,51738983.78991773,77759127639.26492,106341819.28649531,3.3520932824900205e+21,5502017664254342.0,86.69812632910659
France,Germany,10700819707.79541,10489979.85918257,43108679125.63054,51738983.78991773,82866679359.00713,85265665.52379914,3.5722730906939493e+21,4411558886372391.0,32.98409239611592
France,India,264804193.8289537,166155.2751677679,43108679125.63054,51738983.78991773,31245526612.397964,36080361.29465354,1.3469533808452137e+21,1866761228158454.8,101.296243562451
France,Indonesia,4484586.635799409,2257.266472059583,43108679125.63054,51738983.78991773,38517934065.54635,59878521.730703816,1.6604572602138312e+21,3098053865189121.0,134.31566026572094
France,Iran,4904518.285644531,2561.946461193712,43108679125.63054,51738983.78991773,7489451633.987148,10946534.846878693,3.228603673164813e+20,566362588998426.2,188.4564253903152
France,Italy,6948865961.732206,8466799.43843825,43108679125.63054,51738983.78991773,85028215439.92317,115714020.75218745,3.665454056024632e+21,5986925843963629.0,40.94983338518529
France,Japan,37882347.167362206,21102.654630817324,43108679125.63054,51738983.78991773,29543652475.693275,33028302.14139705,1.2735878347738018e+21,1708850789102247.0,106.81642606559396
France,Malaysia,2973015.0153503427,1670.890889939986,43108679125.63054,51738983.78991773,16986894723.92083,19522853.46143032,7.322825939943694e+20,1010092598773882.4,84.23755794607649
France,Mexico,188157607.42277437,179641.0195325351,43108679125.63054,51738983.78991773,55197296936.53189,71488192.66756846,2.3794825622391027e+21,3698726441597840.0,115.87634326812744
France,Russia,83034632.94796859,61141.659644445484,43108679125.63054,51738983.78991773,7505180857.672238,8804172.188609717,3.235384333732171e+20,455518922150122.7,92.53690208892866
France,South Africa,44033010.95036579,26966.50689231357,43108679125.63054,51738983.78991773,3491987766.0907483,3966841.6543924217,1.5053498011903345e+20,205240356053779.97,112.23570512623604
France,Spain,8749771807.852434,13827885.55133456,43108679125.63054,51738983.78991773,30411831383.82331,41310141.89855985,1.3110138807480195e+21,2137344762048789.2,34.73718842521174
France,Ukraine,678346.5283203127,420.4197056507335,43108679125.63054,51738983.78991773,2669614115.0918794,2993415.9970440585,1.1508353827674997e+20,154876301747542.97,106.06316487892012
France,United Kingdom,890031857.8871716,690724.2027744618,43108679125.63054,51738983.78991773,14216521519.3457,15103076.82513566,6.128554644600953e+20,781417847033576.0,47.03273158802952
France,United States,1234516568.0,753243.9560167985,43108679125.63054,51738983.78991773,120595761242.0,180354448.0683238,5.19872397529253e+21,9331355865046564.0,81.12448420284983
Germany,Austria,5426705747.995422,4156568.282762642,87568789495.22942,88128706.37342833,15364702118.217093,15875548.654514426,1.3454683654470582e+21,1399091565890777.0,28.544485798897256
Germany,Belgium,4069335235.124939,5041883.707752091,87568789495.22942,88128706.37342833,32479866310.468662,47476506.68932843,2.844222575774624e+21,4184043117659932.0,37.06800781105398
Germany,Brazil,503132877.9927979,416126.141017909,87568789495.22942,88128706.37342833,8298699654.963992,9379886.163980313,7.267070831696748e+20,826637233561604.0,101.47388827310829
Germany,Canada,258936562.0462036,178876.6004261511,87568789495.22942,88128706.37342833,21831402497.170246,21647464.564676967,1.911749489660327e+21,1907763048349611.2,100.01658328381515
Germany,China (mainland),2305704314.766236,1479665.7084928006,87568789495.22942,88128706.37342833,77759127639.26492,106341819.28649531,6.809272679575465e+21,9371766967115724.0,68.33669623583044
Germany,France,13579784621.95837,17358835.026794504,87568789495.22942,88128706.37342833,51544634493.05953,55433892.192151785,4.5137012475312713e+21,4885317208138426.0,32.98409239611592
Germany,India,939425578.003296,742947.2482141637,87568789495.22942,88128706.37342833,31245526612.397964,36080361.29465354,2.736132942588666e+21,3179715566383730.5,95.75789226165725
Germany,Indonesia,47840277.57208252,43413.8932302875,87568789495.22942,88128706.37342833,38517934065.54635,59878521.730703816,3.3729688599769545e+21,5277016659680144.0,126.19142073089866
Germany,Iran,47541888.122314446,30620.40714649336,87568789495.22942,88128706.37342833,7489451633.987148,10946534.846878693,6.558422135713226e+20,964703955327073.6,153.28641501891633
Germany,Italy,7474639773.151185,7768549.071024195,87568789495.22942,88128706.37342833,85028215439.92317,115714020.75218745,7.445817899013648e+21,1.0197726958158318e+16,42.80117261231791
Germany,Japan,28334262.93511965,16533.932340352963,87568789495.22942,88128706.37342833,29543652475.693275,33028302.14139705,2.587101884564198e+21,2910741541432055.0,91.26426739562285
Germany,Malaysia,50957064.90405271,29188.759389644936,87568789495.22942,88128706.37342833,16986894723.92083,19522853.46143032,1.4875218082566465e+21,1720523820273861.5,67.63886068585553
Germany,Mexico,1016754657.4551388,752636.7050550816,87568789495.22942,88128706.37342833,55197296936.53189,71488192.66756846,4.833560476140833e+21,6300161940767213.0,89.83945273689667
Germany,Russia,517715898.0260621,411303.1641970738,87568789495.22942,88128706.37342833,7505180857.672238,8804172.188609717,6.572196026491256e+20,775900305671089.6,75.27484722659426
Germany,South Africa,333476541.7622681,263806.6343931237,87568789495.22942,88128706.37342833,3491987766.0907483,3966841.6543924217,3.057891416087172e+20,349592623389834.4,75.81804672246645
Germany,South Korea,3854208.06713867,2011.637419985668,87568789495.22942,88128706.37342833,45189048533.220924,62036767.3909452,3.957150278495329e+21,5467220057753283.0,86.17660651741042
Germany,Spain,4291601694.849,4710664.146800222,87568789495.22942,88128706.37342833,30411831383.82331,41310141.89855985,2.663127260614435e+21,3640609365622841.0,46.98445038987268
Germany,Sweden,1595970630.105103,1158934.7094941663,87568789495.22942,88128706.37342833,8710318987.062227,7368504.891323383,7.627520898143521e+20,649376803978608.9,50.27363002585007
Germany,Ukraine,85987024.11114502,54348.27475303728,87568789495.22942,88128706.37342833,2669614115.0918794,2993415.9970440585,2.3377487647797395e+20,263805879457019.03,79.45123558277642
Germany,United Kingdom,2197275594.851915,1977058.2156636908,87568789495.22942,88128706.37342833,14216521519.3457,15103076.82513566,1.2449235802819826e+21,1331014622857710.8,43.392570357232586
Germany,United States,5091765864.0,3973590.6069445903,87568789495.22942,88128706.37342833,120595761242.0,180354448.0683238,1.0560424830217644e+22,1.5894404196955036e+16,70.04615610557092
India,Austria,47353161.25065756,37524.102880048944,50812620524.42151,74242086.51628137,15364702118.217093,15875548.654514426,7.807207782037405e+20,1178633856701894.2,143.52369464499404
India,Belgium,1850561669.2098036,2301048.196563812,50812620524.42151,74242086.51628137,32479866310.468662,47476506.68932843,1.6503871215177866e+21,3524754917119932.5,101.6814847749797
India,Brazil,391778406.0,303664.54695680004,50812620524.42151,74242086.51628137,8298699654.963992,9379886.163980313,4.21678676413833e+20,696382320099096.9,123.33617021269178
India,Canada,311611819.5988785,246081.7000171082,50812620524.42151,74242086.51628137,21831402497.170246,21647464.564676967,1.10931077060462e+21,1607152937068882.5,127.80658895465564
India,China (mainland),2646465239.7581406,5933217.12092285,50812620524.42151,74242086.51628137,77759127639.26492,106341819.28649531,3.9511450450440246e+21,7895038547766742.0,96.67571060131337
India,France,164565155.29887483,139630.59138782218,50812620524.42151,74242086.51628137,51544634493.05953,55433892.192151785,2.619117952565841e+21,4115527820063947.0,101.296243562451
India,Germany,562187172.3558961,457691.9764371668,50812620524.42151,74242086.51628137,82866679359.00713,85265665.52379914,4.210673132388142e+21,6330300916686205.0,95.75789226165725
India,Indonesia,3525026530.0,4920267.96318924,50812620524.42151,74242086.51628137,38517934065.54635,59878521.730703816,1.9571971670572949e+21,4445506390797946.5,102.90589280487421
India,Iran,667038212.8055785,637545.5502159741,50812620524.42151,74242086.51628137,7489451633.987148,10946534.846878693,3.805586638137976e+20,812693587155456.8,101.96953536894581
India,Italy,5047214689.367312,6207503.349802516,50812620524.42151,74242086.51628137,85028215439.92317,115714020.75218745,4.320506445017574e+21,8590850339830677.0,107.09135122365268
India,Japan,1652744123.4174802,1584715.9815243536,50812620524.42151,74242086.51628137,29543652475.693275,33028302.14139705,1.5011904021527884e+21,2452090065067481.0,120.38658143861456
India,Malaysia,1202925138.7632167,1839360.826928956,50812620524.42151,74242086.51628137,16986894723.92083,19522853.46143032,8.631486354948869e+20,1449417375728192.8,65.57747073128934
India,Mexico,258031360.59158096,342791.3676805594,50812620524.42151,74242086.51628137,55197296936.53189,71488192.66756846,2.804719303209809e+21,5307432584918209.0,147.51542778823753
India,Russia,75285520.77472402,49354.49551037383,50812620524.42151,74242086.51628137,7505180857.672238,8804172.188609717,3.813579068880518e+20,653640113331000.9,120.81228168639396
India,South Africa,106300768.19546764,118116.90013149114,50812620524.42151,74242086.51628137,3491987766.0907483,3966841.6543924217,1.7743704923429156e+20,294506601301790.9,109.51179425379077
India,South Korea,1028391850.0,1269145.045033147,50812620524.42151,74242086.51628137,45189048533.220924,62036767.3909452,2.2961739749782213e+21,4605739051828976.0,97.78513814980057
India,Spain,706731576.0004958,865714.5399025476,50812620524.42151,74242086.51628137,30411831383.82331,41310141.89855985,1.5453048475589065e+21,3066951128832740.5,117.31049149269622
India,Sweden,5058811.658385994,4728.476334466478,50812620524.42151,74242086.51628137,8710318987.062227,7368504.891323383,4.425941333362565e+20,547053177637273.0,128.55597291311122
India,Ukraine,105630482.3388138,68205.86576441173,50812620524.42151,74242086.51628137,2669614115.0918794,2993415.9970440585,1.35650088976803e+20,222237449431765.6,109.48764336711984
