Import_country,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
Armenia,4.242731711266634e-05,3.805988895223417e-05,4.241684418863838e-05,3.8920380826965306e-05,3.407519478991072e-05,5.337414031186782e-05,5.186766406632674e-05,5.841947635566794e-05,6.045732172135019e-05,4.3685278109675825e-05,3.5179003594165726e-05,2.692997101367545e-05,3.7940073128991536e-05,5.215746779006618e-05,7.556255750431338e-05,7.563631785084538e-05,5.4847216513682876e-05,7.535019987516566e-05,6.172443200941176e-05,7.433515383185531e-05,6.191901787071224e-05,5.227552276610511e-05,5.481643275946719e-05,8.256216902020195e-05,8.565764968079875e-05,4.488601463479323e-05,4.8546399466357534e-05,2.3676737674385275e-05,6.405042486028779e-05,2.7567952747663158e-05,6.224971619498261e-05,5.703498705564492e-05,4.866905866917474e-05,3.659177311357899e-05,4.129646897051901e-05,3.9967836717573576e-05,3.871844676771167e-05,7.21159813258674e-05,9.017699983567008e-05,5.70289314716688e-05,4.4126405186855765e-05,6.654272760215016e-05,2.375526218578311e-05,0.00012635031044558147
Aruba,3.345677355653497e-08,1.6691284965241505e-08,,1.1537390690607683e-06,1.1520409478908198e-06,4.930263278299507e-07,1.1090618398359682e-07,1.2133957047832994e-06,1.213182860478235e-06,1.2486408454075597e-06,2.300221408988793e-08,1.2104231320377865e-06,,1.7109563785240296e-06,3.751117272711647e-08,1.5067616844238807e-06,,,2.00963896997585e-06,3.4885854394332246e-07,,,3.07258454726813e-07,3.951678155499708e-08,,1.4204659850969685e-06,4.079032432947048e-07,2.9485922952820507e-06,,1.5895009600300403e-06,0.0004108967221857754,1.0142274104491778e-06,1.9877800328678412e-07,3.356040799602036e-07,,3.4677356977930643e-06,,1.1541098087402017e-06,4.592637050491674e-06,1.2875185428359512e-05,2.5326047636893097e-09,2.8434932380741357e-08,1.2257100554603494e-06,
Australia,0.002970048298188115,0.0028649922448368936,0.0030221215903026735,0.0026315388854590473,0.0026022342212756273,0.002333545621750164,0.0030160584247884057,0.0027492122109362706,0.0027693807577749076,0.00265355126997414,0.0027760623093129894,0.0028414813449993298,0.0028264604660945855,0.0022254688426670216,0.002390600618678967,0.0022753009478215687,0.0019748544429155283,0.0016191641434761758,0.002102368364675309,0.001925547090322082,0.001842998137494087,0.0017670801139323445,0.0020689701229692037,0.0023157299833464974,0.001976298027491164,0.0017672591249044485,0.0018791824181099784,0.0022560687775835552,0.0018720348229623056,0.0028909536151710807,0.002678246006866645,0.0018092656753416758,0.001576615950022547,0.001462591182044223,0.0031520918120508702,0.004373561802308762,0.0040088507215161545,0.003053063330054799,0.0029073095529416238,0.00265879653534774,0.002043078674957135,0.0019084614808463063,0.001876926986272468,
Austria,0.009585310166585512,0.01036282166727634,0.00962003249634513,0.009340780606029787,0.010678330922137165,0.010299842569940012,0.009991314534341503,0.009579608707881365,0.01088332219385266,0.010388446337916666,0.012909569766803335,0.012080750620446452,0.011853561826409498,0.011614819810415154,0.01406831017103421,0.013451611138089986,0.0116116407383352,0.014971620010925935,0.012801648932338178,0.01185749666407818,0.014043050983134915,0.012552064976144247,0.01275144653238457,0.010901262276104069,0.01151518655650946,0.010925910330613764,0.011990183568423577,0.011306377902170055,0.011845887981859725,0.009858554041243403,0.010505992776739127,0.010278945704301339,0.010552527732060916,0.009885074292248663,0.01159982167298545,0.012570849773451104,0.014207319568236565,0.016838747137852342,0.01433709804942462,0.011561116700986853,0.013679940469229665,0.012296391244826975,0.010199669786523455,
Azerbaijan,0.0007635697463520181,0.0015883650269584784,0.000886026637099719,0.0008170392673714851,0.001301066189896629,0.0009585939123013564,0.0007262107420335235,0.0005198727368660209,0.0005343087446737901,0.0002727998525393753,0.00025184523014626457,0.00021341762801973486,0.0005670530490123485,0.0005143101623065239,0.0005074943203424334,0.00021115705381723063,0.0003722372717465746,0.00041772603918086606,0.0005769040258329493,0.00032497423674378377,0.0003332894055680676,0.0003746761976271021,0.00032107685706677806,0.00026204290759945087,0.0003107254741472683,0.00041936834296242884,0.0007853857070423185,0.00030635177494527143,0.00045584124143906385,0.00039477395772026655,0.00025813721004724443,0.00024738062985666233,0.00014616760085459972,0.00021395320241567216,0.00022058709737267154,0.0002866158047820316,0.0002624577789534097,0.0002165465020798845,0.0003277147420837556,0.0002983619543202954,0.0001438466292636322,0.00016881342083005185,0.00018312177237016992,0.00042523177604537557
Bahamas,1.0913639363450382e-05,1.4976221509686995e-05,2.8094242415031237e-05,1.7448990125456097e-05,3.0983938471728e-05,3.7063439079489477e-05,3.422207803041309e-05,3.4776835538479964e-05,2.1759211126277627e-05,4.831182169555339e-05,4.2796971794512986e-05,4.459200906293909e-05,3.638950091749583e-05,3.6271691708418806e-05,7.011568487698842e-05,6.630100768223916e-05,5.519403972503927e-05,1.6265698155174925e-05,1.9771124884816095e-05,6.74629882258984e-05,3.7136761557770654e-05,2.380932434014325e-05,1.8380004218910293e-05,2.1524025786651347e-05,4.591051970518212e-05,3.867979290887044e-05,2.726195141803345e-05,3.398934411131999e-05,8.209861479577057e-06,1.0497713993098787e-05,5.702757012940301e-05,2.3908592719177445e-05,1.3521345888263103e-05,3.0817687866324498e-06,4.000575790071687e-06,2.165118357452202e-06,3.471927319164205e-06,5.78711101479064e-06,1.4577405671880553e-05,8.14339478842894e-06,3.5480209861309922e-06,6.122609305483345e-06,7.2099133745729185e-06,3.5279063004791235e-06
Bahrain,0.0010176429147046875,0.0007622956067193822,0.0005921782205057305,0.0005870049375706628,0.0006559261553496003,0.0005565975599578544,9.648570375628416e-05,0.00018052088611820067,0.00015855795214897225,0.0001199551203707693,0.00013176601057071727,9.670889042640702e-05,3.42866599645019e-05,8.991788187772066e-05,0.00015996787411156637,0.0001945035119452331,0.0002394152961507357,0.000575097923859468,0.00025104022983705,0.00043744301000361115,0.0005505028747344851,0.00019438982121437534,0.0001923230459903807,0.0001408955937285511,0.00013029006103401004,0.0001569859213015564,0.00019128468718084896,0.0001636977136013279,0.00013942119505208807,0.00011263871674296843,9.199223153253713e-05,3.437690630073978e-05,5.961931476404019e-05,8.531340145618173e-05,0.0001537586808420691,0.00020716603740179496,0.00019692403853868062,0.0001385532761128368,0.0001911377544279458,0.00025864793448703374,0.0002177412896600224,0.0001782613023273646,0.0001356916102686723,2.2843193295602327e-06
Bangladesh,0.006658796138262876,0.010120163004221945,0.005194309752085187,0.006553640404242578,0.008676600581729829,0.006881365094273828,0.006501300687805414,0.005034011343048366,0.0045014955175195805,0.006227029075325116,0.004808985464586207,0.003869939909836027,0.005919906357177967,0.007248582037707143,0.0076285512868467156,0.007362899278521414,0.004363476650346779,0.005268493199571275,0.00508593954076988,0.005521058803899479,0.0061136544528348725,0.007020345888646723,0.00642307886194327,0.008123155320732251,0.006303618787413378,0.005765846424667421,0.0064234230773994785,0.006075913290579577,0.005548523333153806,0.005080132692781598,0.004603654226210166,0.006277381137715932,0.005880694347182848,0.006473002850890631,0.004552420685851175,0.006209777427267733,0.006343184783967557,0.006877220149284791,0.006170395601917393,0.005009613866539159,0.0053509272182821685,0.0049863091687071546,0.003959778464165155,0.004507850973009293
Barbados,1.196096283261213e-06,1.8307829129049956e-06,1.1530367056617675e-05,2.2162034526207564e-06,3.200836933687865e-06,2.22787162609552e-06,5.144067188914403e-06,1.6883931286117624e-06,2.020058937452868e-06,4.476615100464785e-06,8.983571824024097e-06,1.890676400323425e-06,4.777966839531416e-06,1.1996432376534856e-05,,2.195444324314146e-06,3.4302489765400496e-06,1.5795363582662318e-06,2.6383380123212284e-06,4.412997798395067e-06,4.7107926429654635e-06,8.419458726865159e-06,1.11358696850879e-05,7.466143782758496e-07,5.553772939856298e-07,3.3734261603293956e-06,2.240898082308136e-06,5.817099945245778e-06,6.417170603235053e-07,1.6187454604589762e-06,2.011165922362533e-06,1.5933756331740992e-06,6.283740281351201e-09,2.203672275898685e-06,1.832165431009405e-06,3.7138179405062455e-06,3.3636417012879656e-06,3.7419045375058404e-06,1.4452673136372803e-06,9.518368058032644e-07,3.4408918046269343e-06,1.3343391799091296e-06,6.8387958538221934e-06,
Belarus,0.0032832845390461667,0.0031836274397264246,0.004195526185072705,0.0035403807673428643,0.0022407439021996586,0.0026849876199280523,0.002711983136317136,0.002625267170921866,0.001495540155307988,0.0021676947830741606,0.002089371916236507,0.00220673617621413,0.0015974377305391539,0.002175476666635697,0.00238967832044652,0.002409126238253923,0.0021592590422483096,0.002525242329903142,0.0025509297445214427,0.002833883611400931,0.0027291080768075487,0.002403858125496094,0.002741565885514886,0.002792727655743139,0.002797038572866816,0.0028018531457995556,0.003360482283144984,0.00318912538537442,0.002629934151127401,0.002784008638625127,0.003015047126873573,0.0026843114898746703,0.0031955634041811124,0.003193253504865276,0.0029229589561704868,0.002697783227293119,0.0009923328921340045,4.213797726426454e-05,4.493151059915558e-05,0.00011711258977809434,7.925302381400991e-05,6.833450093364535e-05,3.262370008072837e-05,
