Export_country,Import_country,Distance,Distance capital,Distance weighted with popuation,Distance weighted with population_1
Spain,India,7282.046,7282.046,7645.239,7605.157
Spain,Iran,4784.696,4784.696,4789.652,4741.178
Spain,Italy,1366.76,1366.76,1325.827,1219.245
Spain,Japan,10777.42,10777.42,10684.76,10671.17
Spain,South Korea,10012.64,10012.64,10101.71,10087.7
Spain,Mexico,9073.951,9073.951,9144.438,9131.799
Spain,Malaysia,11084.66,11084.66,11174.05,11149.57
Spain,Netherlands,1481.366,1481.366,1500.836,1446.738
Spain,Russia,3449.3,3449.3,4180.506,3901.271
Spain,Slovakia,1865.664,1865.664,1986.511,1924.331
Spain,Sweden,2596.908,2596.908,2486.548,2426.659
Spain,Taiwan,10804.02,10804.02,10814.53,10802.21
Spain,Ukraine,2863.877,2863.877,3004.592,2941.258
Spain,United States,5770.264,6092.003,7437.157,7176.146
Spain,Vietnam,10053.22,10053.22,10603.31,10578.46
Spain,South Africa,8582.782,8070.031,8283.678,8270.088
France,Austria,1035.144,1035.144,975.7691,920.6031
France,Belgium,262.3845,262.3845,526.3351,378.6808
France,Brazil,9408.406,8732.79,8681.18,8584.978
France,Canada,6004.645,5653.213,6454.269,6326.645
France,China (mainland),8225.232,8225.232,8742.565,8716.882
France,Germany,439.8984,880.187,789.5815,682.0841
France,Spain,1054.656,1054.656,958.838,817.1057
France,France,278.1876,278.1876,408.9603,161.4058
France,United Kingdom,342.9475,342.9475,749.6503,598.5457
France,Indonesia,11584.25,11584.25,11576.7,11547.48
France,India,6594.23,6594.23,7073.011,7038.913
France,Iran,4218.442,4218.442,4250.649,4213.445
France,Italy,1109.901,1109.901,891.5286,712.8497
France,Japan,9725.629,9725.629,9803.116,9796.54
France,South Korea,8981.467,8981.467,9225.815,9220.22
France,Mexico,9206.813,9206.813,9276.133,9264.167
France,Malaysia,10436.4,10436.4,10553.12,10537.39
France,Netherlands,427.9169,427.9169,660.9895,556.2308
France,Russia,2494.316,2494.316,3350.928,3049.666
France,Slovakia,1094.61,1094.61,1247.716,1213.423
France,Sweden,1545.797,1545.797,1616.322,1550.527
France,Taiwan,9834.232,9834.232,9980.066,9976.811
France,Ukraine,2025.144,2025.144,2275.21,2226.3
France,United States,5838.157,6169.154,7456.767,7227.043
France,Vietnam,9208.554,9208.554,9888.428,9869.467
France,South Africa,9353.552,8692.812,8769.679,8750.608
United Kingdom,Austria,1238.199,1238.199,1290.561,1267.391
United Kingdom,Belgium,323.7796,323.7796,448.2817,399.5527
United Kingdom,Brazil,9501.71,8797.828,8931.505,8837.089
United Kingdom,Canada,5715.747,5364.799,5849.772,5734.132
United Kingdom,China (mainland),8151.353,8151.353,8539.15,8513.196
United Kingdom,Germany,495.3633,936.1019,808.641,752.69
United Kingdom,Spain,1263.379,1263.379,1435.419,1369.098
United Kingdom,France,342.9475,342.9475,749.6503,598.5457
United Kingdom,United Kingdom,185.8346,185.8346,217.4439,86.15405
United Kingdom,Indonesia,11718.78,11718.78,11766.46,11742.24
United Kingdom,India,6720.636,6720.636,7324.15,7292.99
United Kingdom,Iran,4408.013,4408.013,4583.818,4556.252
United Kingdom,Italy,1438.425,1438.425,1487.006,1399.13
United Kingdom,Japan,9574.237,9574.237,9436.248,9431.94
United Kingdom,South Korea,8875.39,8875.39,8931.778,8928.762
United Kingdom,Mexico,8938.404,8938.404,8734.489,8726.294
United Kingdom,Malaysia,10559.89,10559.89,10714.89,10704.7
United Kingdom,Netherlands,360.315,360.315,467.948,436.0208
United Kingdom,Russia,2510.88,2510.88,3266.609,2972.27
United Kingdom,Slovakia,1294.938,1294.938,1502.94,1487.425
United Kingdom,Sweden,1437.571,1437.571,1292.802,1255.961
United Kingdom,Taiwan,9790.424,9790.424,9823.558,9822.446
United Kingdom,Ukraine,2137.511,2137.511,2450.889,2412.67
United Kingdom,United States,5570.161,5901.343,6878.493,6655.415
United Kingdom,Vietnam,9248.713,9248.713,9941.448,9922.318
United Kingdom,South Africa,9681.689,9033.48,9488.882,9476.756
Indonesia,Austria,10553.88,10553.88,10653.67,10623.51
Indonesia,Belgium,11416.28,11416.28,11419.33,11393.79
Indonesia,Brazil,15644.48,16326.22,16024.37,15994.88
Indonesia,Canada,15815.39,15654.81,14951.85,14873.65
Indonesia,China (mainland),5220.879,5220.879,4684.441,4562.061
Indonesia,Germany,11227.22,10783.79,11030.03,11000.95
Indonesia,Spain,12188.31,12188.31,12160.97,12125.58
Indonesia,France,11584.25,11584.25,11576.7,11547.48
Indonesia,United Kingdom,11718.78,11718.78,11766.46,11742.24
Indonesia,Indonesia,523.0264,523.0264,716.3723,120.8425
Indonesia,India,4998.229,4998.229,4574.944,4445.513
Indonesia,Iran,7411.062,7411.062,7394.289,7330.886
Indonesia,Italy,10823.78,10823.78,10902.43,10869.4
Indonesia,Japan,5791.627,5791.627,5481.534,5443.457
Indonesia,South Korea,5291.684,5291.684,5081.576,5063.601
Indonesia,Mexico,16863.46,16863.46,16272.36,16234.13
Indonesia,Malaysia,1174.196,1174.196,1306.636,1053.754
Indonesia,Netherlands,11361.64,11361.64,11346.36,11320.98
Indonesia,Russia,9302.706,9302.706,8698.131,8560.525
Indonesia,Slovakia,10494.27,10494.27,10378.76,10348.28
Indonesia,Sweden,10528.27,10528.27,10632.05,10605.43
Indonesia,Taiwan,3825.405,3825.405,3584.592,3560.061
Indonesia,Ukraine,9581.404,9581.404,9359.695,9319.266
Indonesia,United States,16180.32,16371.12,15535.87,15476.45
Indonesia,Vietnam,3023.314,3023.314,2226.403,2082.434
Indonesia,South Africa,9478.355,8573.012,8934.844,8897.848
India,Austria,5571.096,5571.096,6155.083,6118.732
India,Belgium,6419.599,6419.599,6947.939,6916.634
India,Brazil,14441.49,14251.55,13949.72,13908.2
India,Canada,11643.63,11349.87,12051.14,12020.57
India,China (mainland),3785.013,3785.013,4204.047,4046.001
India,Germany,6229.637,5785.567,6565.789,6528.24
India,Spain,7282.046,7282.046,7645.239,7605.157
India,France,6594.23,6594.23,7073.011,7038.913
India,United Kingdom,6720.636,6720.636,7324.15,7292.99
India,Indonesia,4998.229,4998.229,4574.944,4445.513
India,India,681.9816,681.9816,868.5674,235.0309
India,Iran,2544.592,2544.592,2915.659,2805.66
India,Italy,5922.222,5922.222,6388.826,6352.288
India,Japan,5847.71,5847.71,6003.253,5945.685
India,South Korea,4692.672,4692.672,5108.001,5055.012
India,Mexico,14673.66,14673.66,15076.04,15037.92
India,Malaysia,3842.43,3842.43,3610.29,3502.011
India,Netherlands,6363.421,6363.421,6890.324,6858.228
India,Russia,4341.881,4341.881,4628.077,4494.664
India,Slovakia,5511.714,5511.714,5888.319,5850.416
India,Sweden,5574.222,5574.222,6308.107,6267.688
India,Taiwan,4393.583,4393.583,4508.788,4456.134
India,Ukraine,4583.481,4583.481,4898.957,4838.656
India,United States,11761.81,12059.81,13131.91,13076.46
India,Vietnam,3006.763,3006.763,3329.87,3252.258
India,South Africa,9310.96,8000.751,7857.113,7792.628
Iran,Austria,3184.971,3184.971,3348.021,3308.603
Iran,Belgium,4088.119,4088.119,4177.172,4148.886
Iran,Brazil,12210.63,11863.16,11728.98,11672.9
Iran,Canada,9900.537,9563.885,9978.513,9950.343
Iran,China (mainland),5609.038,5609.038,5864.218,5811.084
Iran,Germany,3914.946,3512.118,3811.351,3773.798
Iran,Spain,4784.696,4784.696,4789.652,4741.178
Iran,France,4218.442,4218.442,4250.649,4213.445
Iran,United Kingdom,4408.013,4408.013,4583.818,4556.252
Iran,Indonesia,7411.062,7411.062,7394.289,7330.886
Iran,India,2544.592,2544.592,2915.659,2805.66
Iran,Iran,482.8648,482.8648,494.1463,133.347
Iran,Italy,3417.937,3417.937,3536.223,3490.787
Iran,Japan,7672.881,7672.881,7542.874,7525.389
Iran,South Korea,6562.448,6562.448,6677.31,6662.005
Iran,Mexico,13163.93,13163.93,13073.69,13057.93
Iran,Malaysia,6300.096,6300.096,6415.507,6368.188
Iran,Netherlands,4071.167,4071.167,4141.796,4113.519
Iran,Russia,2466.589,2466.589,2693.442,2509.75
Iran,Slovakia,3125.928,3125.928,3099.809,3058.573
Iran,Sweden,3566.229,3566.229,3765.084,3735.173
Iran,Taiwan,6695.339,6695.339,6701.032,6684.999
