Country,Nominal Value (SUM)_exporter,Tons (SUM)_exporter,Price_exporter,Nominal Value (SUM)_importer,Tons (SUM)_importer,Price_importer,Throughput,Ton (SUM)_difference,Ton (SUM)_difference_ratio,Ton (SUM)_exporter_ratio,Nominal Value (SUM)_difference,Nominal Value (SUM)_difference_ratio,Nominal Value (SUM)_exporter_ratio,Price_difference,Price_difference_ratio,Price_exporter_ratio
Australia,2890004970.839672,3498760.665633012,826.0081917654686,2671425317.842404,3047287.7935872665,876.6567186283389,5561430288.682076,451472.8720457456,0.06896876411139828,1.1481556395808195,218579652.9972682,0.03930277674110095,1.081821360132128,-50.64852686287031,-0.02974662046165964,0.9422253593834111
Austria,17559883722.7292,18364187.64016673,956.202586621456,11913271083.07722,13897332.42984248,857.2343752456566,29473154805.80642,4466855.21032425,0.13845767963291677,1.3214181738023576,5646612639.651978,0.1915849415122522,1.4739766769575973,98.96821137579946,0.054574938890570475,1.1154505864833504
Azerbaijan,272123920.6827009,546255.9791762895,498.16190770678986,540400733.4364724,855684.6251304434,631.5419461394342,812524654.1191733,-309428.64595415385,-0.2207145188630641,0.6383847075586013,-268276812.75377154,-0.3301768277352767,0.5035594954733547,-133.38003843264437,-0.11806637463308162,0.7888025660876749
Bahamas,123243.42395019533,145.54538281846047,846.769726140454,21475541.450811382,17929.9597425173,1197.746216902342,21598784.874761578,-17784.41435969884,-0.9838958433737538,0.00811744058037837,-21352298.026861187,-0.98858792986135,0.005738780753559952,-350.97649076188793,-0.17166727995260306,0.7069692345431932
Bahrain,723609136.8842344,1502595.7275881905,481.572736830349,268938820.2368541,341518.5684020842,787.479349937486,992547957.1210884,1161077.1591861062,0.6296123628078144,4.399748261474092,454670316.64738035,0.4580839780942813,2.6906087274680273,-305.90661310713693,-0.2410512667657751,0.6115369715644972
Bangladesh,115893548.89615633,167673.45948985798,691.1860067106585,7640945093.57386,14743286.629166665,518.2660614125055,7756838642.470016,-14575613.169676807,-0.9775100384558852,0.011372868459204296,-7525051544.677704,-0.9701183551088405,0.015167436420086881,172.91994529815304,0.1429737894172949,1.3336509144103885
Barbados,2751.818359375,5.141,535.2690837142579,2045322.8669738767,2105.636704718326,971.3560095104264,2048074.685333252,-2100.495704718326,-0.9951288096434711,0.0024415417856651195,-2042571.0486145017,-0.9973127753796466,0.0013454200330955117,-436.08692579616843,-0.2894462117730933,0.5510534535983765
Belarus,1428493001.6800897,3137714.1879381565,455.2654945984024,2841880911.998239,4782720.516203333,594.1975706860266,4270373913.678329,-1645006.3282651762,-0.20769141969001076,0.6560521730901743,-1413387910.3181493,-0.3309752117469062,0.5026575869696313,-138.93207608762413,-0.1323839596488994,0.7661853852293252
Belgium,49816953389.91828,52612921.12970709,946.8577741027552,30950102208.22697,46638746.743705615,663.613505275075,80767055598.14525,5974174.386001475,0.060192181290303765,1.1280946595505967,18866851181.69131,0.23359587695709652,1.6095893013457072,283.24426882768023,0.17587663465635062,1.426821133952469
Belize,10418629.330566406,18320.085,568.699835757662,12556774.16156745,15040.412931211087,834.8689772679232,22975403.492133856,3279.672068788912,0.09831004547808468,1.2180573155663237,-2138144.8310010433,-0.09306234085216762,0.8297218056572787,-266.1691415102613,-0.18963740077445662,0.6811845346304642
