Import_country,Nominal Value (SUM),Tons (SUM),Price
Morocco,4960582638.335447,9354664.376488417,530.2790606580336
Mozambique,310134180.1711422,393823.1995701315,787.4959639494624
Myanmar,605449035.1433009,806487.4928829357,750.723403011513
Namibia,188429361.63074657,194605.4807645825,968.2633854423285
Nauru,39780.74414062501,40.07899948596954,992.5583136013926
Nepal,5783406532.16074,12012548.283439804,481.44709979094097
Netherlands,19576800096.55731,23396425.833564617,836.7431947008052
Netherlands Antilles,1053729.015472412,971.1397483390234,1085.0436482232801
New Caledonia,42204836.82270622,41928.98864061408,1006.57893717534
New Zealand,434857083.18887854,369715.16461617645,1176.194878671882
Nicaragua,225381866.26347265,234551.30500273357,960.9064688889534
Niger,9250626.033773422,13161.780554819958,702.8400143311737
Nigeria,3047289512.748087,4353974.755921199,699.8868122981003
Niue,6763.077331542969,5.386,1255.6771874383528
Norfolk Island,381646.0123901367,475.021,803.4297691894394
North Korea,44037060.683353424,50296.28030354453,875.5530313093551
Northern Mariana Islands,4746610.10382843,3783.361326190556,1254.6013173443741
Norway,749719670.8594025,815669.6380944368,919.146227645415
Oman,3539854980.886858,7223471.856091901,490.04897525855637
"Other Africa, nes.",2641.0,6.055,436.168455821635
"Other Europe, nes.",7827539.493635178,6882.440608839976,1137.3203109927738
Pakistan,6556749045.212984,12143138.62057919,539.9550519913481
Palau,1993828.9558639526,1613.52670491648,1235.696285527024
Panama,60328932.992385626,72866.32597116737,827.9398225218231
Papua New Guinea,77642673.70861483,82383.17149583912,942.4579352657754
Paraguay,322874645.4866161,426316.7143045757,757.3586365556923
Peru,4710255684.692852,7113891.071406039,662.1208614826153
Philippines,14615563751.130281,25147440.136281677,581.1948918825959
Poland,25450222254.431393,29851304.099404823,852.5665133316176
Portugal,5320579558.853287,6591251.63690889,807.21839370534
Qatar,1237104700.657322,2270880.7751090424,544.7686704723277
Romania,5306063478.742906,6865588.884976236,772.8489962971722
Russia,6601313637.609305,8312270.989332922,794.1648733638165
Rwanda,16169895.340982437,22057.42074538888,733.0818742423801
Réunion,14683327.538036346,18555.097871049227,791.3365717647953
Saint Barthelemy,479880.74035644537,609.3650055304171,787.5095156452853
Saint Helena,37867.921977996826,34.38030979831761,1101.4421394146332
Saint Kitts and Nevis,1317121.1276245117,1146.223,1149.0967530964845
Saint Lucia,2053395.2239990234,2049.324519543171,1001.9863640028861
Saint Maarten,201043.08990478516,256.13600022506716,784.9075870948568
Saint Pierre and Miquelon,66569.18457412721,73.14690389724333,910.0752188724693
Saint Vincent and the Grenadines,161446.73181569576,182.50163014534945,884.6317245885148
San Marino,118728163.95516968,131813.109812169,900.7310738996667
Sao Tome and Principe,6162625.511062622,7217.044371449793,853.8987976077311
Saudi Arabia,12584401527.03461,21105114.62423585,596.2725979504247
Senegal,319303606.19341475,480418.4706217366,664.6364070477681
Serbia,823856481.4214922,910881.3100073435,904.4608472808058
Seychelles,2353778.055774987,4813.162975174496,489.02936965055784
Sierra Leone,88553527.33355832,98167.33699775736,902.0671237682787
Singapore,3376929017.681312,3674381.2220852096,919.0469941942787
Slovakia,5539329183.815034,5815015.346823553,952.5906387918457
Slovenia,4199631618.583604,4851718.366958234,865.5967434516498
Solomon Islands,4113144.6731948853,4312.599608074185,953.750648563369
Somalia,235522341.90183222,289701.9035331136,812.9816857586214
South Africa,2992357290.453191,3678157.710439392,813.5478481415427
South Korea,42472793396.88966,60549392.86102453,701.4569657927864
South Sudan,2458665.285235405,2530.887417982585,971.463711805581
Spain,29131592752.95228,40559750.334810935,718.2389564156096
Sri Lanka,2438911130.568651,4968606.899378418,490.86417580625334
Sudan,1123117268.4332933,2041142.4087305162,550.239544105016
Suriname,13766368.609735489,15446.927552532983,891.2043228608322
