Export_country,Nominal Value (SUM),Tons (SUM),Price
East Timor,50569.0,90.111,561.185648810911
Ecuador,1905379.0136516094,1994.2480699619405,955.4373111104342
Egypt,3444906722.0852103,4933929.424626958,698.2075391858025
El Salvador,112776349.165133,131514.0526025984,857.5231842783681
Estonia,29071195.19197404,28146.852889899557,1032.8399876778474
Ethiopia,13321.737339973457,12.48178353067181,1067.2943740161497
Falkland Islands,16750.0,11.34,1477.0723104056437
Finland,3670986137.6915584,3245306.9853102323,1131.1676073505982
France,38343284238.30854,49024916.13082205,782.1183035987298
Gabon,240257887.39776802,236812.75417509122,1014.5479209288262
Georgia,2753639688.1862316,2916466.9052382857,944.169701785541
Germany,76190266089.05896,81596523.8928566,933.7440181778267
Ghana,12972945.129673004,16202.3031511441,800.6852487979118
Gibraltar,975.192916870118,3.339000076055526,292.0613640782382
Greece,1033417456.0649805,1635710.5136971925,631.7850545138024
Grenada,105153.435546875,124.153,846.9665295794301
Guatemala,83880078.83976173,84866.65556967858,988.3749780959987
Guinea,3104.033203125,3.5,886.8666294642857
Guyana,5923.29736328125,5.00899982452393,1182.530958432249
Honduras,303941258.76422524,363136.1282392327,836.98986448407
Hong Kong SAR,395562642.8442376,472779.3822806517,836.6749009571305
Hungary,3959656242.3495708,5148256.492254898,769.1256735763899
Iceland,499035154.61613846,448221.6691332464,1113.36686506289
India,47643768320.69836,72440788.10377693,657.692573035581
Indonesia,14751828280.232742,16931879.10863601,871.245783506017
Iran,12998349895.31586,29286352.86674043,443.83641604201483
Iraq,26326535.156455755,73298.58068173872,359.1684165177107
Ireland,69362021.01694681,101699.84044559706,682.0268420583321
Israel,8393546.455900788,10961.609282981803,765.7220978430602
Italy,22852977921.98755,23439156.97242547,974.991461888859
Jamaica,100040.607421875,82.0704392027555,1218.9603028043277
Japan,97780626916.53238,134108266.18939304,729.1170760379728
Jordan,15507097.845588684,28705.31126238779,540.2170247813143
Kazakhstan,6942691034.813654,11935940.171322605,581.6626872422019
Kenya,108496814.97948316,124526.42686195073,871.2754209173776
Kosovo,441466.35427093506,361.5508626538871,1221.0352674322094
Kuwait,255791832.25555623,416147.3114573839,614.66655007274
Kyrgyzstan,5667211.604970932,8762.23299948697,646.7770949828368
Laos,122992.51579284672,150.15834797051622,819.085435176714
Latvia,800064969.0151253,1096361.7704983715,729.7454093564763
Lebanon,21399153.892606743,34225.58000590085,625.2386048364208
Lesotho,185731.1246538163,246.4596519771687,753.5964737588037
Liberia,121057.00525283813,124.61186426856881,971.4725476855953
Libya,1069450383.9770247,2752221.266216389,388.5771820400362
Liechtenstein,1124101.0655651095,1205.39246861721,932.5602198714951
