Export_country,Import_country,Nominal Value (SUM),Tons (SUM),Price
"Areas, nes., Spec Cat, Islands, Other",Egypt,4814772.138671875,5068.134323535744,950.0087865297317
"Areas, nes., Spec Cat, Islands, Other",France,6157220.7481007585,4873.747977761792,1263.3440990784234
"Areas, nes., Spec Cat, Islands, Other",Germany,12905742.46484375,13154.799821853654,981.0671876134403
"Areas, nes., Spec Cat, Islands, Other",Hungary,4788.1672363281305,4.08399987220764,1172.4210054247253
"Areas, nes., Spec Cat, Islands, Other",India,2411409.0064239507,3184.066552968221,757.3362448017958
"Areas, nes., Spec Cat, Islands, Other",Iran,1948809.0,4623.406,421.5093807465752
"Areas, nes., Spec Cat, Islands, Other",Ireland,1703.1740970611545,1.784,954.6940005948176
"Areas, nes., Spec Cat, Islands, Other",Israel,163000.0,226.3277082427134,720.1946295731458
"Areas, nes., Spec Cat, Islands, Other",Kenya,720581.75,984.63,731.8299767425327
"Areas, nes., Spec Cat, Islands, Other",Mexico,4093.0,3.7253345852895143,1098.6932599724898
"Areas, nes., Spec Cat, Islands, Other",Netherlands,1310908648.9840205,1097898.2883705853,1194.0164793676547
"Areas, nes., Spec Cat, Islands, Other",Nicaragua,47283.630157470696,51.552252929687576,917.1981333572583
"Areas, nes., Spec Cat, Islands, Other",Panama,74456.12866210943,53.44998953270329,1393.005486307038
"Areas, nes., Spec Cat, Islands, Other",Poland,6832626.996215702,9227.98615299164,740.4244959774478
"Areas, nes., Spec Cat, Islands, Other",Portugal,36501.12109375,72.0,506.96001519097223
"Areas, nes., Spec Cat, Islands, Other",Russia,1956206.4839267728,1701.5418702205434,1149.6669686260623
"Areas, nes., Spec Cat, Islands, Other",Senegal,2311998.2619628906,4158.85,555.9224934688413
"Areas, nes., Spec Cat, Islands, Other",South Africa,937822.9596607677,1098.5648948272865,853.6800730449427
"Areas, nes., Spec Cat, Islands, Other",South Korea,46440.0,45.876000000000005,1012.2940099398377
"Areas, nes., Spec Cat, Islands, Other",Spain,50688.0693359375,45.19,1121.6656192949215
"Areas, nes., Spec Cat, Islands, Other",Taiwan,4140343.5929565444,4940.870715775628,837.9785327587922
"Areas, nes., Spec Cat, Islands, Other",Turkey,246270.1796875,305.1,807.1785633808587
"Areas, nes., Spec Cat, Islands, Other",United Kingdom,114943753.0625,96065.845,1196.5100922445433
Argentina,Austria,109.599601745605,0.113589753954563,964.8722523815476
Argentina,Bangladesh,1301845.8894042973,2760.608,471.57940910274016
Argentina,Belgium,3949321.9692878723,5886.593952085591,670.9010340162238
Argentina,Bolivia,16478653.443466198,23077.63394847054,714.0529865523027
Argentina,Brazil,24474128.0,30255.257791802644,808.9214829506764
Argentina,Canada,33815757.8984375,57283.753,590.3202239287202
Argentina,Chile,19749346.8546393,25633.92460913487,770.4378925886928
Argentina,China (mainland),10642.610084533699,9.221099975585938,1154.158409811345
Argentina,Colombia,2050320.71875,3996.264,513.0593771457541
Argentina,Cuba,6447.720031738279,6.11055010986329,1055.1783253247117
Argentina,Dominican Republic,5038005.5,10106.33,498.4999995052606
Argentina,France,1772725.1529998782,1588.3100091717033,1116.1077766703406
Argentina,Germany,597087.1003417969,523.9000018835068,1139.696694398111
Argentina,Guatemala,62812.0,95.398,658.4205119604185
Argentina,Hungary,29.308500289917,0.0209999997168779,1395.6428897644928
Argentina,India,1150888.8052368162,2301.9629999999997,499.95973229666
Argentina,Italy,20578729.117309574,34404.556000000004,598.1396509610405
Argentina,Japan,25836.599609375,21.0,1230.3142671130952
Argentina,Mexico,118893103.92675781,237064.94847999953,501.52122736435865
Argentina,Netherlands,10139463.15234375,22365.64800262451,453.34984933832135
Argentina,Pakistan,6061356.407089235,13374.932219999313,453.18782236711377
Argentina,Paraguay,139012782.51558545,200218.7003904779,694.3046890449035
Argentina,Peru,4393335.06967926,5033.563492403869,872.8081162200945
Argentina,Poland,391291.41275024414,378.0022204982819,1035.1563867387988
Argentina,Portugal,58.0985984802246,0.046000000089407,1263.0130079848348
Argentina,Slovenia,26358.333984375,24.0,1098.263916015625
Argentina,South Korea,191675.0,176.852,1083.8158460181394
Argentina,Spain,3018303.411376954,3907.175604421415,772.5026251600772
Argentina,Sweden,849454.2060203552,594.3212521346337,1429.2845880394755
Argentina,Switzerland,4259.961364746096,3.3049999999999997,1288.9444371395145
Argentina,Taiwan,429505.176269531,619.0,693.8694285452843
Argentina,Thailand,2108.8399658203098,2.1390000000000002,985.8999372698969
Argentina,Turkey,201841.3359375,144.0,1401.6759440104167
Argentina,United Kingdom,1703077.3916015625,1755.6,970.0828159042849
Argentina,United States,88520410.0,112705.53,785.4131913491734
Argentina,Uruguay,35872856.0,38961.07648783203,920.7357504919938
Argentina,Venezuela,67033.75,50.0,1340.675
Argentina,Vietnam,424322.3952636717,966.063,439.22849261763645
Armenia,Austria,247193.58203125,219.5,1126.1666607346242
Armenia,Georgia,24826253.357421875,47077.0099957431,527.3540813162681
Armenia,Germany,9462.400390625,25.2000007629395,375.49206762489166
Armenia,Iran,75978.69995117188,275.216,276.06934172130934
Armenia,Netherlands,4.52680015563965,0.0040000001899898,1131.699985157049
Armenia,Peru,307145.74755859375,342.18,897.6145524536611
Armenia,Russia,228.78000640869192,0.43057998657226604,531.3298656306563
Australia,American Samoa,102844.8046875,154.0,667.8234070616883
Australia,Austria,12483.194580078127,14.71562732708373,848.2951017047795
Australia,Bangladesh,20380539.80908203,41666.200000047684,489.1384337678672
Australia,Belgium,19967.44921875,36.0,554.6513671875
Australia,Cambodia,198223.60009765625,199.31899785995478,994.5042982652955
Australia,Canada,4091912.6763305664,5869.159956545178,697.1888152012864
Australia,Chad,236.275207519531,0.264999985694885,891.6046048076884
Australia,China (mainland),4110025.4575195326,5777.417724851088,711.3948918459878
Australia,Christmas Island,42.9384994506836,0.0399999991059303,1073.4625102608477
Australia,Czech Republic,5175.54296875,4.59999990463257,1125.1180600107864
Australia,Denmark,55.434398651123,0.0389289951852735,1423.9874003245106
Australia,East Timor,80874.30834960938,83.74000144004827,965.7786835304687
Australia,Egypt,43.5325012207031,0.0299999993294477,1451.0834064576804
