Export_country,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
Oman,70813107.94482422,45513004.19433594,52781940.525390625,68094036.456543,27413259.28312681,27901836.39430237,26121485.354492188,5559011.689880374,54370349.533203125,27318127.817382812,11859166.896240244,30115058.255493164,24362975.634799935,33341236.152221683,17785042.98077393,24053882.435302787,59017899.107910156,31546183.87475586,48360382.62988281,78169593.52894592,63852751.316949844,77724717.00250244,109923957.75531054,98512582.51654053,152170464.49556732,159313532.90234375,246779377.07421875,329856245.9140625,283425291.25785065,88992994.8137207,274982230.48046875,395527266.04974365,490372324.0572815,640890607.3120117,556084511.0488281,634118985.306328,820602684.4619144,831013751.668457,426163508.39944464,689975639.7443619,785920820.2893791,764036189.9335022,364252236.539215,43009493.0
Russia,2570963779.7956586,2517026541.802003,2494008315.5429726,2940188692.777658,3135589488.250209,3260678331.9895344,3150555521.9526043,2775197010.0032587,2591464198.300054,2453131167.388917,2150206140.736883,1846139232.7519486,1184626278.7512383,1767777487.403305,2241774705.100762,2108061467.3946135,2664043446.5564017,2720880509.507655,2911479343.585593,3299970495.96147,3671240819.4292183,4353029509.090596,3557298795.9745936,3531639490.5840983,3341542786.0962305,3186778908.6881514,2752464649.660211,2481409456.6050277,2751147923.864705,2546475293.542172,1813289250.2301316,2466834929.504891,3430816257.8518896,4532523913.636644,6648538080.753527,4389337052.942033,3490284092.0115867,2197808575.6579285,1280806541.1652827,1151477736.2444406,1131331388.1396794,1662840926.6088717,959497213.6153187,26665928.4296875
Slovakia,381590148.1967975,392857381.80587494,350084315.6378594,350103512.36722565,380258428.1989074,456524806.2045986,392039347.9349753,372569984.218358,397149625.5790303,341082865.72788334,356601496.99966055,315957875.9101322,305932772.7471668,338112129.9551758,372053902.41036767,371617852.3194949,367849766.0674199,477526738.34126425,435197981.3509469,477160521.2570182,501845536.8572895,484742272.814472,494419343.9280968,410921322.9130939,398388432.635698,377737460.64933294,318084482.7304645,295994186.9955732,288579958.9486538,225892767.31046534,270016300.3754103,296710812.4432119,398698769.31985396,485166874.2504007,550905672.0081873,559568613.4365036,575636160.9884098,465956796.016963,449434855.5937716,357197459.8266333,383283224.0296891,423389678.77416354,244696100.11946484,486037.86038208
South Korea,2309315648.4449463,2251413955.41148,1953195615.919983,2210464309.4485874,2149189652.482666,2137374500.0744781,2075275265.4718018,1965257396.508377,1911991843.2828598,1819127324.0345764,1768282530.1898499,1728368575.3775597,1606658748.8123934,1539558920.2209215,1768468977.7911339,1685475845.6187134,1863042844.7586184,1977665060.1316786,2069293345.53228,1996079333.7505188,2103734878.51441,2327600675.618655,2353393909.028362,1961171712.2688031,2014625497.83178,1926824354.9715786,2038157388.9010487,1867027688.3399658,1810674897.4464607,1402891172.7487142,1829747800.5375166,1903417990.3107433,2104825871.970272,2242494321.13414,2414817132.576989,2270687897.1427,2305430543.764599,2155928225.620447,2021005593.0441666,1993175725.5303898,2082626325.1523361,2068725622.771515,2026562796.5710335,605186185.9962158
Taiwan,825899719.6948032,857938654.2396585,778304550.4175493,775082897.0439814,811139320.620962,770862210.923172,712803097.5351486,720504783.9480991,646053173.8783001,564902078.4033929,483207375.2967748,437254355.4225506,431147557.77862793,565208683.3783685,508871943.991395,602442489.4248712,663040679.3431708,640612405.5856129,653557459.1617005,681621514.7938533,677656121.663826,702375916.6798172,654953352.9285891,687871255.1705148,615748171.2720993,628129553.9715196,545671143.4166005,560738404.8506641,511240700.61006683,462017366.6760627,489891399.5036488,569031935.7717274,639212382.69835,834444103.178198,900439714.9260772,938159153.3754009,703359600.6689302,683461314.6577227,655311512.2107698,675814007.9280473,664782392.4961368,764511552.8113848,628561242.6082346,7065825.282714844
Turkey,491935043.0003128,317994464.75812095,140194673.66242978,166482515.96526334,165588613.06416705,201462127.68251225,123338109.98282625,142551797.42672727,128021091.6767502,91634038.75120354,88086268.24304964,79174430.49886706,89035105.5320914,89409741.49897768,97289852.87402251,147430645.24546057,242043276.64742777,248689835.0775414,199980382.97760773,244490103.77183148,228844129.16986075,238650330.52006537,363139239.18767315,461636430.8213661,563299704.0879753,406455700.7713672,290707187.61295223,234602249.22971347,234900452.07893172,260346835.34721157,194757012.51892295,260289285.65652132,384917838.4137024,488838951.69199127,593757792.349388,700380551.5062613,669611006.0587165,653933107.4112216,443103763.875452,294133479.34644175,229077903.20187378,247581193.86874047,291190089.78124946,355035.0
Ukraine,1859523470.670239,1935493614.2824347,1726578352.2516258,1860964916.7553077,1954771479.3761792,2136784961.5444565,1497816122.6884327,1281591317.9251711,1304144252.792739,1134569659.4897888,1028418205.8955121,907071920.5474397,772112431.5989243,936314287.18121,1078392897.69883,998136957.4368594,1188754927.186581,1140109308.0841522,1166657043.524506,1605486743.995003,1629429095.7437267,1862571189.0123956,1356579921.4369926,1331991106.9793878,1486993802.238007,1484124572.4587686,1213350923.1791205,1126903119.2639952,1351288930.3235018,1128132119.626071,1261882375.7801368,1286468621.390343,1553147747.0920758,2175563765.879079,2263306810.2364216,1836333793.4164581,1459531058.7630923,496637256.1783338,293366128.68236804,420812418.4680371,531351128.93744165,575531343.5422806,376535981.4877105,249357.203125
United Kingdom,695760911.1643629,638097694.8111539,593771730.8747889,623492910.6342548,707114169.5649875,661041605.5205419,688642230.4975284,616356845.3797952,627548524.2322237,466142289.79573053,481291153.31551003,238342224.00742826,186171773.74055278,214111062.3031963,176905693.374081,206708154.24482182,258196427.49300772,192371824.64905444,172945726.81325024,208678208.63111633,206154290.2816418,208735990.13048306,178456237.4665517,172949110.3611051,188974612.64547658,175022906.97130212,132400334.47507596,134724226.49420884,145127145.42706087,104963628.17579462,144544198.84325242,127112241.61784431,96706782.07336038,130394202.37304689,103269971.43630216,76329236.88000484,90564766.17401129,91064741.97082527,103155751.32281497,67428237.26130098,83854211.83557126,85999341.32339478,102670726.658493,
United States,854634642.0,832334327.0,817194450.0,764866859.0,764677233.0,816001375.0,855773009.0,711626728.0,888001569.0,813286928.0,742967436.0,653736568.0,704009284.0,722605220.0,687426915.0,715303046.0,829227400.0,1031501528.0,833311276.0,801888136.0,873951043.0,879238818.0,721247482.0,728465416.0,778286958.0,647921144.0,676525674.0,631594039.0,665666046.0,391994491.0,616672936.0,662399596.0,714169842.0,837568747.0,979987055.0,948251708.0,1036709781.0,1064418010.0,952789006.0,855654761.0,1048354930.0,1107974479.0,1085239985.0,
Vietnam,115968430.14880374,90739443.71606457,96895860.85531047,100702115.62219243,140306204.67801958,121169004.86074834,156946581.04601678,174561557.52859494,167186594.06944662,114283922.35524936,104537345.34053043,130631499.8527794,121765630.50150298,123487040.44693184,152347907.98758128,190373151.62355947,264671115.22959143,184215226.69585803,287320925.4573059,268018430.96010593,277952689.46289843,297115403.85298544,414662221.00741583,384202829.6866534,328857502.7122488,344348576.3931731,288988528.3309141,359596400.04697275,428461736.4747405,359144295.6646862,658757755.0091455,615275675.4894447,606244703.4443202,805816937.2342945,1082159777.6823123,1009182976.4301124,430165246.5909989,487548467.2489929,354998357.1519044,319663639.33581805,294492444.3306395,379835718.9733642,333092374.5035297,28574897.36536026
