Country,Nominal Value (SUM)_exporter,Tons (SUM)_exporter,Price_exporter,Nominal Value (SUM)_importer,Tons (SUM)_importer,Price_importer
El Salvador,112776349.165133,131514.0526025984,857.5231842783681,401019983.08441067,671251.5503859353,597.421313744221
Estonia,29071195.19197404,28146.85288989956,1032.8399876778474,677715856.0326427,654651.0413074165,1035.232227965548
Ethiopia,13321.737339973455,12.48178353067181,1067.2943740161495,1033162163.3982208,1839992.491693389,561.5034670317469
Falkland Islands,16750.0,11.34,1477.0723104056435,27607.61230468751,27.315,1010.7125134427058
Finland,3670986137.6915584,3245306.9853102323,1131.1676073505982,1977706876.6126297,1861160.1945605385,1062.6204463176855
France,38343284238.30854,49024916.13082205,782.1183035987298,44811313675.508095,51567510.90701562,868.9834527074611
Gabon,240257887.397768,236812.7541750912,1014.5479209288262,47605798.890220165,52446.32510121219,907.7051404144968
Georgia,2753639688.186232,2916466.9052382857,944.169701785541,232604726.55753317,366441.1091185176,634.767008311565
Germany,76190266089.05896,81596523.8928566,933.7440181778268,67003965651.3297,76149978.23079124,879.8947446610911
Ghana,12972945.129673004,16202.3031511441,800.6852487979118,984727323.7101012,1300339.381083593,757.2848581187418
Gibraltar,975.192916870118,3.339000076055526,292.0613640782382,237304.08321177965,368.863116332676,643.3391486010115
Greece,1033417456.0649804,1635710.5136971923,631.7850545138024,2992142429.396313,3937057.547070283,759.9945882484959
Grenada,105153.435546875,124.153,846.9665295794301,706729.9539794922,632.6938663254593,1117.0172362884082
Guatemala,83880078.83976173,84866.65556967858,988.3749780959988,2228337540.9767456,3721486.9266636265,598.7761303180196
Guinea,3104.033203125,3.5,886.8666294642857,101637908.70327188,132824.0189402145,765.2072984557121
Guyana,5923.29736328125,5.00899982452393,1182.530958432249,18079334.17510605,22351.25822895561,808.873218228253
Honduras,303941258.76422524,363136.1282392327,836.98986448407,480192043.294285,808123.9348134818,594.2059412027132
Hong Kong SAR,395562642.8442376,472779.3822806517,836.6749009571305,2718045500.049441,3537052.3609569143,768.4493252212135
Hungary,3959656242.3495703,5148256.492254898,769.1256735763899,7179512306.225611,8507299.929663632,843.9237320400292
Iceland,499035154.61613846,448221.6691332464,1113.36686506289,39010924.81996257,44245.02727590906,881.7019046387525
India,47643768320.69836,72440788.10377693,657.692573035581,26173649128.762463,33350695.79177269,784.8006917810471
Indonesia,14751828280.232742,16931879.10863601,871.245783506017,37519716558.44881,59311826.46928065,632.5840695174237
Iran,12998349895.31586,29286352.86674043,443.8364160420148,6907347261.801753,10624222.29697921,650.1508598672416
Iraq,26326535.156455755,73298.58068173872,359.1684165177107,1040805595.2654852,1843631.1929775828,564.5411073700252
Ireland,69362021.01694681,101699.84044559706,682.0268420583321,588405209.861246,546844.258580202,1076.001440316756
Israel,8393546.455900788,10961.609282981804,765.7220978430602,913264606.233707,1200275.6441706794,760.8790619630707
Italy,22852977921.98755,23439156.97242547,974.991461888859,73846538964.7567,109410848.27646089,674.9471384972743
Jamaica,100040.607421875,82.0704392027555,1218.9603028043275,20315216.13371086,22540.38257909057,901.2808927456329
Japan,97780626916.53238,134108266.18939304,729.1170760379728,24211413559.06179,30140069.219066724,803.2965479636509
Jordan,15507097.845588684,28705.31126238779,540.2170247813143,1460162479.7447536,3027850.3824271536,482.2439339206297
Kazakhstan,6942691034.813654,11935940.171322605,581.6626872422019,2148313490.8661127,4195297.256894512,512.0765846414326
Kenya,108496814.97948316,124526.42686195072,871.2754209173776,3216197859.2705984,5799037.92221594,554.6088683002814
Kosovo,441466.3542709351,361.5508626538871,1221.0352674322094,25997990.212017067,32377.11226001165,802.9743357972874
Kuwait,255791832.25555623,416147.3114573839,614.66655007274,1073060937.7824644,2236555.6213761764,479.782808675332
Kyrgyzstan,5667211.604970932,8762.23299948697,646.7770949828368,98882964.87590164,120202.41503355646,822.6370896815746
Laos,122992.51579284672,150.15834797051622,819.085435176714,92771571.65222669,98006.51929063848,946.5857202530829
Latvia,800064969.0151253,1096361.7704983717,729.7454093564763,1060398388.766912,1491520.667986429,710.9511866157796
Lebanon,21399153.892606743,34225.58000590085,625.2386048364208,389947593.1588837,606069.8284367574,643.4037380885298
Lesotho,185731.1246538163,246.4596519771687,753.5964737588037,69897079.78581807,60217.96139261166,1160.7347404223813
Liberia,121057.00525283812,124.6118642685688,971.4725476855951,44986641.23879862,52592.90059971546,855.3747887227579
Libya,1069450383.9770248,2752221.266216389,388.5771820400362,636050215.2969902,1247405.3484489778,509.8985795498265
Liechtenstein,1124101.0655651095,1205.39246861721,932.5602198714952,36056316.22804452,47102.09580941711,765.4928216768602
Lithuania,110468092.08206367,187951.4815140453,587.7479187298057,542802788.1506048,555503.9141241681,977.1358479200126
Luxembourg,2548255689.945511,2926031.5952878064,870.8913786335457,3406333440.46406,4927975.125574407,691.2237488347744
Macao,24423.49046325684,26.273,929.6041739906686,4628666.750514984,5912.175889000826,782.9041012000814
Macedonia,398489409.4602903,377440.86711646273,1055.7664635115752,707946186.9430405,1392072.0437459978,508.555710261943
Malawi,76945.7954287529,105.17955297673244,731.5661005497395,37341372.30099535,40805.60055929643,915.1040981919368
Malaysia,14376885898.71695,21601660.29341193,665.5454119469516,13985436443.688118,17907021.471120574,781.0029415692071
Mali,456512.0316162109,1079.962817989546,422.71087857084905,88553664.92422487,125044.843792277,708.1752612792989
Malta,18070686.629476484,19644.061051926103,919.9058474573744,12217425.519991998,12331.136447617308,990.7785524790554
Mauritania,664479.5563278198,876.6360000000001,757.9879862654736,84043794.60330077,116376.16229285437,722.1736217062139
Mauritius,1045207.9021835328,1511.2086750366666,691.6370448695133,90396395.25328064,160502.72982290966,563.2078367328663
Mexico,13539792999.489788,19237439.62572288,703.8251068185486,52557883586.80927,69936937.06116624,751.5039376237281
Moldova,565816.7511410713,758.899360430784,745.5754750140906,163139459.6104641,272283.6471877101,599.1526163816849
Mongolia,766410.0,1655.6816322057412,462.8969634572615,38126221.3407414,47735.19420111373,798.702550158513
Montenegro,6056605.412387848,6520.964671117722,928.7897907518826,14811380.71090734,15423.501667553575,960.3124523963352
Morocco,136398069.62335443,173355.29201418167,786.8122630614364,4960582638.335447,9354664.376488416,530.2790606580336
Mozambique,2897961.280765533,3343.5461162490847,866.7328578726394,310134180.1711422,393823.1995701315,787.4959639494624
Myanmar,88331999.89414763,107669.43292648182,820.3999732631818,605449035.1433009,806487.4928829357,750.723403011513
Namibia,1040532.8547806815,1125.6073811501226,924.4190045355658,188429361.63074657,194605.4807645825,968.2633854423284
Nepal,153784916.45226294,171350.46092644116,897.4876146862604,5783406532.16074,12012548.283439804,481.44709979094097
Netherlands,28872909542.07013,34210143.1481234,843.9868087384474,19576800096.55731,23396425.833564617,836.7431947008052
Netherlands Antilles,730226.584634304,938.3123984737396,778.2339717796458,1053729.015472412,971.1397483390234,1085.04364822328
New Caledonia,4.61396503448486,0.012,384.4970862070716,42204836.82270622,41928.98864061408,1006.57893717534
New Zealand,292906784.9227119,472456.6529839232,619.9654149704163,434857083.18887854,369715.16461617645,1176.194878671882
Nicaragua,657158.1378479005,662.626653476019,991.7472145144908,225381866.26347265,234551.3050027336,960.9064688889534
Niger,2360027.846923828,5465.967116571426,431.7676628110005,9250626.033773422,13161.780554819958,702.8400143311737
Nigeria,17324622.351454735,33957.999562221536,510.17794259967167,3047289512.748087,4353974.755921199,699.8868122981003
Norway,7645786608.97175,6952139.485126342,1099.7746269805752,749719670.8594025,815669.6380944368,919.146227645415
Oman,10091999744.029812,18964542.340380017,532.1509774871575,3539854980.886858,7223471.856091901,490.0489752585564
"Other Africa, nes.",15356.17006874085,34.02,451.3865393515829,2641.0,6.055,436.168455821635
"Other Europe, nes.",70215598.84230804,110658.44673907252,634.525433091187,7827539.493635178,6882.440608839976,1137.3203109927738
Pakistan,623348302.6259828,1246880.6258047957,499.9262076300562,6556749045.212984,12143138.62057919,539.9550519913481
Panama,19987876.03090477,32143.090209493294,621.8405231305811,60328932.992385626,72866.32597116737,827.9398225218231
Papua New Guinea,178084.2303466797,199.66013180751636,891.9368565696578,77642673.70861483,82383.17149583912,942.4579352657754
Paraguay,38165865.30957031,42320.45803385925,901.8301569192616,322874645.4866161,426316.7143045757,757.3586365556923
Peru,36851469.29283602,68836.92276893489,535.3445187626335,4710255684.692852,7113891.071406039,662.1208614826153
Philippines,48120892.345314026,64865.399116099565,741.8576467738166,14615563751.13028,25147440.13628168,581.1948918825959
Poland,8531237834.725442,11051151.692732312,771.9772628165019,25450222254.431396,29851304.099404823,852.5665133316176
Portugal,1872040237.2600727,3038911.4638033323,616.0232897726911,5320579558.853287,6591251.63690889,807.21839370534
